Library,study,mite_stage,bee_sp,mite_sp,collec_method,Lib_select,Lib_treat
SRR3632582,Andino_2016,adult_fem,Ac,Vj,brood,cDNA,rRNA_dpl
SRR3633003,Andino_2016,adult_fem,Ac,Vj,brood,cDNA,rRNA_dpl
SRR3634700,Andino_2016,adult_fem,Ac,Vj,brood,cDNA,rRNA_dpl
SRR3634772,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3634929,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3634942,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3635001,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3635050,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3635105,Andino_2016,adult_fem,Am,Vj,brood,cDNA,rRNA_dpl
SRR3927486,Levin_2016,adult_fem,Am,Vd,adult_bee,PolyA,mRNA_nrch
SRR5377263,USDA,nymph_fem,Am,Vd,brood,RANDOM,NI
SRR5377264,USDA,adult_fem,Am,Vd,adult_bee,RANDOM,NI
SRR5377265,USDA,adult_Male,Am,Vd,brood,RANDOM,NI
SRR5377266,USDA,nymph_Male,Am,Vd,brood,RANDOM,NI
SRR5377267,USDA,adult_fem,Am,Vd,NI,RANDOM,NI
SRR5377268,USDA,adult_fem,Am,Vd,NI,RANDOM,NI
SRR5377269,USDA,nymph_fem,Am,Vd,brood,RANDOM,NI
SRR5377270,USDA,egg,Am,Vd,brood,RANDOM,NI
SRR5760812,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760813,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760814,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760815,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760816,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760817,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760818,Mondet_2018,adult_Male,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760819,Mondet_2018,adult_fem,Am,Vd,adult_bee,cDNA,mRNA_nrch
SRR5760820,Mondet_2018,adult_fem,Am,Vd,adult_bee,cDNA,mRNA_nrch
SRR5760821,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760822,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760823,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760824,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760825,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760826,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760827,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760828,Mondet_2018,adult_Male,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760829,Mondet_2018,adult_fem,Am,Vd,adult_bee,cDNA,mRNA_nrch
SRR5760830,Mondet_2018,adult_fem,Am,Vd,adult_bee,cDNA,mRNA_nrch
SRR5760831,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760832,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
SRR5760833,Mondet_2018,adult_fem,Am,Vd,brood,cDNA,mRNA_nrch
