id	description
NC_002548.1	Acute bee paralysis virus, complete genome
KY354240.1	Apis Nora virus isolate RI-11 nonstructural polyprotein, envelope protein, and capsid protein genes, complete cds
NC_035071.1	Apis flavivirus isolate RI-A polyprotein gene, complete cds
KY354234.1	Apis rhabdovirus 2 isolate T-12 N protein, P protein, M protein, G protein, and L protein genes, complete cds
NC_027631.1	Bee Macula-like virus isolate France 878V, complete genome
NC_003784.1	Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds
NC_010711.1	Chronic bee paralysis virus RNA 1, complete genome
NC_004830.2	Deformed wing virus, complete genome
NC_009025.1	Israel acute paralysis virus of bees
NC_004807.1	Kashmir bee virus, complete genome
NC_032433.1	Lake Sinai virus strain WHCC111282 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds
NC_002066.1	Sacbrood virus complete genome
NC_006494.1	Varroa destructor virus-1, complete genome
NC_040601.1	Varroa destructor virus 2 isolate VDV-2, complete genome
