NC_004830.2	DWVa
KY354234.1	ARV-2
KY354230.1	ARV-1
MK032465.1	VOV_1_1
MK032466.1	VOV_1_2
MK032467.1	VOV_1_3
MK032469.1	VOV_1_5
MK032470.1	VOV_1_6
NC_027631.1	BMV
KR819915.1	AmFV
NC_002548.1	ABPV
NC_027619.1	VTLV
NC_009025.1	IAPV
NC_002066.1	SBV
NC_006494.1	DWVb
ENA|CEND01000001|CEND01000001.1	DWVc
NC_003784.1	BQCV
KX578272.1 	VDV3
NC_040601.1	VDV2
MK032464.1	VDV4
MK795519.1	VDV5
NC_004807.1	KBV
NC_010711.1	CBPV
NC_014137.1	SBPV
NC_032433.1	LSBV
NC_035071.1	AFV
KY354240.1	ANV
MG571088.1	VPVL_46
MG571087.1	VPVL_36
