"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006468",2.93788826056005e-10,2.52575812662774,37.2090171665723,76,383,"protein phosphorylation"
"2","GO:0016310",3.95667991039649e-08,2.15700660308144,44.3010752688172,80,456,"phosphorylation"
"3","GO:0036211",6.22544343189818e-07,1.7524255024255,84.0360309375589,125,865,"protein modification process"
"4","GO:0006464",6.22544343189818e-07,1.7524255024255,84.0360309375589,125,865,"cellular protein modification process"
"5","GO:0050766",2.11293243549813e-06,14.1699604743083,1.45727221279004,9,15,"positive regulation of phagocytosis"
"6","GO:0006793",2.14665307343786e-06,1.76218374446553,70.6291265798906,107,727,"phosphorus metabolic process"
"7","GO:0006796",2.74335414360339e-06,1.7544374940463,70.1433691756272,106,722,"phosphate-containing compound metabolic process"
"8","GO:0021549",2.99184154167933e-06,8.68287037037037,2.23448405961139,11,23,"cerebellum development"
"9","GO:0022037",2.99184154167933e-06,8.68287037037037,2.23448405961139,11,23,"metencephalon development"
"10","GO:0048026",6.23612637302484e-06,15.0879684418146,1.2629692510847,8,13,"positive regulation of mRNA splicing, via spliceosome"
"11","GO:0050685",6.23612637302484e-06,15.0879684418146,1.2629692510847,8,13,"positive regulation of mRNA processing"
"12","GO:0033120",6.23612637302484e-06,15.0879684418146,1.2629692510847,8,13,"positive regulation of RNA splicing"
"13","GO:0042026",8.22646001008233e-06,7.43934240362812,2.42878702131673,11,25,"protein refolding"
"14","GO:0061077",1.04772708679293e-05,6.3194168323393,2.91454442558008,12,30,"chaperone-mediated protein folding"
"15","GO:0007186",1.27869478116368e-05,2.76789716008638,12.629692510847,29,130,"G protein-coupled receptor signaling pathway"
"16","GO:0030902",1.30235963169231e-05,6.94193121693122,2.5259385021694,11,26,"hindbrain development"
"17","GO:0048488",1.33184286302386e-05,12.5706771860618,1.36012073193737,8,14,"synaptic vesicle endocytosis"
"18","GO:0140238",1.33184286302386e-05,12.5706771860618,1.36012073193737,8,14,"presynaptic endocytosis"
"19","GO:0043412",1.53589619349362e-05,1.60908529048208,90.9337860780985,127,936,"macromolecule modification"
"20","GO:0061740",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"protein targeting to lysosome involved in chaperone-mediated autophagy"
"21","GO:0071211",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"protein targeting to vacuole involved in autophagy"
"22","GO:0090083",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"regulation of inclusion body assembly"
"23","GO:0090084",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"negative regulation of inclusion body assembly"
"24","GO:0061462",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"protein localization to lysosome"
"25","GO:0006622",1.83046229578154e-05,16.4734251968504,1.06866628937936,7,11,"protein targeting to lysosome"
"26","GO:0034605",2.44418823410876e-05,7.27037319116527,2.23448405961139,10,23,"cellular response to heat"
"27","GO:0010662",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"regulation of striated muscle cell apoptotic process"
"28","GO:0010664",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"negative regulation of striated muscle cell apoptotic process"
"29","GO:0010665",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"regulation of cardiac muscle cell apoptotic process"
"30","GO:0010667",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"negative regulation of cardiac muscle cell apoptotic process"
"31","GO:0010656",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"negative regulation of muscle cell apoptotic process"
"32","GO:0010658",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"striated muscle cell apoptotic process"
"33","GO:0010659",2.61247099956562e-05,10.7726120033812,1.45727221279004,8,15,"cardiac muscle cell apoptotic process"
"34","GO:0019538",3.81710377222117e-05,1.49441344788514,136.983588002264,176,1410,"protein metabolic process"
"35","GO:0044849",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"estrous cycle"
"36","GO:0061741",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"chaperone-mediated protein transport involved in chaperone-mediated autophagy"
"37","GO:0061738",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"late endosomal microautophagy"
"38","GO:1990832",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"slow axonal transport"
"39","GO:1990834",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"response to odorant"
"40","GO:0061684",4.02620630806076e-05,13.1759842519685,1.16581777023203,7,12,"chaperone-mediated autophagy"
