"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0055114",1.82044783385926e-11,3.87492246094851,14.1482739105829,43,300,"oxidation-reduction process"
"2","GO:0006629",1.52727544547626e-08,3.29429011486574,13.6766647802301,37,290,"lipid metabolic process"
"3","GO:0044255",2.61270957099575e-06,3.1776183788122,9.62082625919638,26,204,"cellular lipid metabolic process"
"4","GO:0006720",4.36580762935067e-06,9.39398340248963,1.36766647802301,9,29,"isoprenoid metabolic process"
"5","GO:0044281",4.56937736643564e-06,2.35765328419735,21.3167326919449,43,452,"small molecule metabolic process"
"6","GO:0019752",7.02678651065219e-06,3.05963590709353,9.52650443312583,25,202,"carboxylic acid metabolic process"
"7","GO:0043436",8.38726583527432e-06,3.02420856610801,9.62082625919638,25,204,"oxoacid metabolic process"
"8","GO:0006082",8.38726583527432e-06,3.02420856610801,9.62082625919638,25,204,"organic acid metabolic process"
"9","GO:0006066",1.07930646136872e-05,8.16381021107703,1.50914921712884,9,32,"alcohol metabolic process"
"10","GO:0055085",1.21910016265014e-05,2.27359503360717,21.4110545180155,42,454,"transmembrane transport"
"11","GO:0034754",4.65005843605087e-05,20.5959183673469,0.471609130352764,5,10,"cellular hormone metabolic process"
"12","GO:0032787",7.41988792662484e-05,4.41751437417072,3.25410299943407,12,69,"monocarboxylic acid metabolic process"
"13","GO:1901615",9.02373002141367e-05,4.69831782085219,2.82965478211658,11,60,"organic hydroxy compound metabolic process"
"14","GO:0106120",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of sterol biosynthetic process"
"15","GO:0045940",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of steroid metabolic process"
"16","GO:0010893",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of steroid biosynthetic process"
"17","GO:1902932",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of alcohol biosynthetic process"
"18","GO:0090205",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of cholesterol metabolic process"
"19","GO:0045542",0.000103696343623196,Inf,0.141482739105829,3,3,"positive regulation of cholesterol biosynthetic process"
"20","GO:0006631",0.000137489926210498,5.51049548450085,2.02791926051688,9,43,"fatty acid metabolic process"
"21","GO:0008610",0.000139318221879661,3.25246548323471,5.65930956423316,16,120,"lipid biosynthetic process"
"22","GO:0016042",0.000332510186030534,4.79923396105969,2.26372382569327,9,48,"lipid catabolic process"
"23","GO:0090181",0.000400281978753867,61.336032388664,0.188643652141105,3,4,"regulation of cholesterol metabolic process"
"24","GO:0045540",0.000400281978753867,61.336032388664,0.188643652141105,3,4,"regulation of cholesterol biosynthetic process"
"25","GO:0042445",0.000408145485969905,7.73821721311475,1.03754008677608,6,22,"hormone metabolic process"
"26","GO:0006732",0.000543836683704163,3.70353623970846,3.44274665157517,11,73,"coenzyme metabolic process"
"27","GO:0001523",0.000809619417088347,13.6720867208672,0.471609130352764,4,10,"retinoid metabolic process"
"28","GO:0009074",0.000809619417088347,13.6720867208672,0.471609130352764,4,10,"aromatic amino acid family catabolic process"
"29","GO:0016126",0.000809619417088347,13.6720867208672,0.471609130352764,4,10,"sterol biosynthetic process"
"30","GO:0016101",0.000809619417088347,13.6720867208672,0.471609130352764,4,10,"diterpenoid metabolic process"
