,GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,GO:0070527,1.86E-08,101.3899614,0.095076401,5,12,platelet aggregation
2,GO:0030168,3.00E-08,88.69932432,0.102999434,5,13,platelet activation
3,GO:0034109,3.00E-08,88.69932432,0.102999434,5,13,homotypic cell-cell adhesion
4,GO:0050817,1.00E-07,64.47174447,0.126768534,5,16,coagulation
5,GO:0007596,1.00E-07,64.47174447,0.126768534,5,16,blood coagulation
6,GO:0007599,1.00E-07,64.47174447,0.126768534,5,16,hemostasis
7,GO:0009612,1.33E-07,33.54487179,0.253537068,6,32,response to mechanical stimulus
8,GO:0030029,5.12E-07,11.67954545,1.022071307,9,129,actin filament-based process
9,GO:0050878,5.83E-07,41.66931638,0.174306735,5,22,regulation of body fluid levels
10,GO:0030036,5.50E-06,10.07647059,1.014148274,8,128,actin cytoskeleton organization
11,GO:0098974,9.10E-06,134.7692308,0.0475382,3,6,postsynaptic actin cytoskeleton organization
12,GO:0099188,9.10E-06,134.7692308,0.0475382,3,6,postsynaptic cytoskeleton organization
13,GO:0035902,9.10E-06,134.7692308,0.0475382,3,6,response to immobilization stress
14,GO:0071257,1.58E-05,101.0576923,0.055461234,3,7,cellular response to electrical stimulus
15,GO:0002121,1.58E-05,101.0576923,0.055461234,3,7,inter-male aggressive behavior
16,GO:1903920,1.58E-05,101.0576923,0.055461234,3,7,positive regulation of actin filament severing
17,GO:1903919,1.58E-05,101.0576923,0.055461234,3,7,negative regulation of actin filament severing
18,GO:0035995,1.58E-05,101.0576923,0.055461234,3,7,detection of muscle stretch
19,GO:0055003,1.58E-05,101.0576923,0.055461234,3,7,cardiac myofibril assembly
20,GO:1904030,1.58E-05,101.0576923,0.055461234,3,7,negative regulation of cyclin-dependent protein kinase activity
21,GO:0048857,2.52E-05,80.83076923,0.063384267,3,8,neural nucleus development
22,GO:0021762,2.52E-05,80.83076923,0.063384267,3,8,substantia nigra development
23,GO:0002118,2.52E-05,80.83076923,0.063384267,3,8,aggressive behavior
24,GO:0016319,2.52E-05,80.83076923,0.063384267,3,8,mushroom body development
25,GO:1903918,2.52E-05,80.83076923,0.063384267,3,8,regulation of actin filament severing
26,GO:0045663,2.52E-05,80.83076923,0.063384267,3,8,positive regulation of myoblast differentiation
27,GO:0042060,2.93E-05,16.78571429,0.372382569,5,47,wound healing
28,GO:0007291,3.76E-05,67.34615385,0.071307301,3,9,sperm individualization
29,GO:0010831,3.76E-05,67.34615385,0.071307301,3,9,positive regulation of myotube differentiation
30,GO:0014897,3.76E-05,67.34615385,0.071307301,3,9,striated muscle hypertrophy
31,GO:0051014,3.76E-05,67.34615385,0.071307301,3,9,actin filament severing
32,GO:0035994,3.76E-05,67.34615385,0.071307301,3,9,response to muscle stretch
33,GO:0055013,3.76E-05,67.34615385,0.071307301,3,9,cardiac muscle cell development
34,GO:0045662,3.76E-05,67.34615385,0.071307301,3,9,negative regulation of myoblast differentiation
35,GO:0003300,3.76E-05,67.34615385,0.071307301,3,9,cardiac muscle hypertrophy
36,GO:0051091,3.82E-05,26.2556391,0.198075835,4,25,positive regulation of DNA-binding transcription factor activity
37,GO:0043044,5.34E-05,57.71428571,0.079230334,3,10,ATP-dependent chromatin remodeling
38,GO:0090175,5.34E-05,57.71428571,0.079230334,3,10,regulation of establishment of planar polarity
39,GO:0002026,5.34E-05,57.71428571,0.079230334,3,10,regulation of the force of heart contraction
40,GO:0014896,5.34E-05,57.71428571,0.079230334,3,10,muscle hypertrophy
41,GO:0030901,5.34E-05,57.71428571,0.079230334,3,10,midbrain development
42,GO:0050982,7.30E-05,50.49038462,0.087153367,3,11,detection of mechanical stimulus
43,GO:0007349,7.30E-05,50.49038462,0.087153367,3,11,cellularization
44,GO:0010830,7.30E-05,50.49038462,0.087153367,3,11,regulation of myotube differentiation
45,GO:0051155,7.30E-05,50.49038462,0.087153367,3,11,positive regulation of striated muscle cell differentiation
46,GO:0051149,7.30E-05,50.49038462,0.087153367,3,11,positive regulation of muscle cell differentiation
47,GO:0055006,7.30E-05,50.49038462,0.087153367,3,11,cardiac cell development
48,GO:0060048,7.30E-05,50.49038462,0.087153367,3,11,cardiac muscle contraction
49,GO:0009611,7.55E-05,13.53170478,0.451612903,5,57,response to wounding
50,GO:0006874,8.04E-05,21.18623482,0.237691002,4,30,cellular calcium ion homeostasis
51,GO:0006936,9.18E-05,20.39766082,0.245614035,4,31,muscle contraction
52,GO:0072503,9.18E-05,20.39766082,0.245614035,4,31,cellular divalent inorganic cation homeostasis
53,GO:0001974,9.68E-05,44.87179487,0.095076401,3,12,blood vessel remodeling
54,GO:0032091,9.68E-05,44.87179487,0.095076401,3,12,negative regulation of protein binding
55,GO:0051602,9.68E-05,44.87179487,0.095076401,3,12,response to electrical stimulus
56,GO:0051090,0.000104263,19.66541353,0.253537068,4,32,regulation of DNA-binding transcription factor activity
57,GO:0055074,0.000104263,19.66541353,0.253537068,4,32,calcium ion homeostasis
58,GO:0042592,0.000112665,6.417457306,1.537068478,8,194,homeostatic process
59,GO:0001775,0.000122412,12.11789376,0.499151104,5,63,cell activation
60,GO:0032507,0.000125202,40.37692308,0.102999434,3,13,maintenance of protein location in cell
61,GO:0051651,0.000125202,40.37692308,0.102999434,3,13,maintenance of location in cell
62,GO:0072507,0.000149221,17.75212224,0.277306169,4,35,divalent inorganic cation homeostasis
63,GO:0006941,0.00015847,36.6993007,0.110922467,3,14,striated muscle contraction
64,GO:0045445,0.00015847,36.6993007,0.110922467,3,14,myoblast differentiation
65,GO:0051153,0.00015847,36.6993007,0.110922467,3,14,regulation of striated muscle cell differentiation
66,GO:0045661,0.00015847,36.6993007,0.110922467,3,14,regulation of myoblast differentiation
67,GO:0007010,0.000177128,5.982855454,1.640067912,8,207,cytoskeleton organization
68,GO:0052646,0.000182949,262.9,0.0237691,2,3,alditol phosphate metabolic process
69,GO:0006072,0.000182949,262.9,0.0237691,2,3,glycerol-3-phosphate metabolic process
70,GO:0001895,0.000196997,33.63461538,0.118845501,3,15,retina homeostasis
71,GO:0045214,0.000196997,33.63461538,0.118845501,3,15,sarcomere organization
72,GO:0051147,0.000196997,33.63461538,0.118845501,3,15,regulation of muscle cell differentiation
73,GO:0055007,0.000196997,33.63461538,0.118845501,3,15,cardiac muscle cell differentiation
74,GO:0000281,0.000241123,31.04142012,0.126768534,3,16,mitotic cytokinesis
