"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006099",1.60369711448935e-11,75.5942028985507,0.232408979437842,8,16,"tricarboxylic acid cycle"
"2","GO:0006101",2.99409815366804e-11,67.1819645732689,0.246934540652707,8,17,"citrate metabolic process"
"3","GO:0072350",9.09439245400424e-11,54.9459815546772,0.275985663082437,8,19,"tricarboxylic acid metabolic process"
"4","GO:0009060",2.39206082941776e-10,46.4749163879599,0.305036785512168,8,21,"aerobic respiration"
"5","GO:0016999",8.34842854208576e-10,37.7391304347826,0.348613469156763,8,24,"antibiotic metabolic process"
"6","GO:0006091",3.71887624168329e-09,14.3444444444444,1.03131484625542,11,71,"generation of precursor metabolites and energy"
"7","GO:0045333",6.7686983675704e-09,20.2032871972318,0.6245991322392,9,43,"cellular respiration"
"8","GO:0006936",8.25276815635485e-09,26.2180214240706,0.450292397660819,8,31,"muscle contraction"
"9","GO:0030029",2.79868107717336e-08,8.94450431034483,1.8737973967176,13,129,"actin filament-based process"
"10","GO:0015980",3.9762636506953e-08,15.9469904240766,0.755329183172986,9,52,"energy derivation by oxidation of organic compounds"
"11","GO:0055013",6.83176319736772e-08,90.625,0.130730050933786,5,9,"cardiac muscle cell development"
"12","GO:0003012",7.24379643480918e-08,18.8115942028986,0.581022448594605,8,40,"muscle system process"
"13","GO:0002026",1.35088317642756e-07,72.4861111111111,0.145255612148651,5,10,"regulation of the force of heart contraction"
"14","GO:0017144",1.59454599018038e-07,6.9437585733882,2.55649877381626,14,176,"drug metabolic process"
"15","GO:0030036",2.2685006219579e-07,8.12944297082228,1.85927183550274,12,128,"actin cytoskeleton organization"
"16","GO:0055006",2.44858433092553e-07,60.3935185185185,0.159781173363516,5,11,"cardiac cell development"
"17","GO:0009612",2.60320124665581e-07,20.796,0.464817958875684,7,32,"response to mechanical stimulus"
"18","GO:0044057",3.23770654972738e-07,15.0260869565217,0.697226938313526,8,48,"regulation of system process"
"19","GO:0055002",3.26585912866461e-07,19.9923076923077,0.479343520090549,7,33,"striated muscle cell development"
"20","GO:0055001",4.06501234678448e-07,19.2481481481481,0.493869081305414,7,34,"muscle cell development"
"21","GO:0070527",4.15006558574254e-07,51.7559523809524,0.174306734578381,5,12,"platelet aggregation"
"22","GO:0030168",6.66754366469328e-07,45.2777777777778,0.188832295793247,5,13,"platelet activation"
"23","GO:0034109",6.66754366469328e-07,45.2777777777778,0.188832295793247,5,13,"homotypic cell-cell adhesion"
"24","GO:0009653",1.03099216251285e-06,4.65990812608902,4.92416525183928,18,339,"anatomical structure morphogenesis"
"25","GO:1903920",1.39407477555726e-06,95.3607305936073,0.101678928504056,4,7,"positive regulation of actin filament severing"
"26","GO:1903919",1.39407477555726e-06,95.3607305936073,0.101678928504056,4,7,"negative regulation of actin filament severing"
"27","GO:0035995",1.39407477555726e-06,95.3607305936073,0.101678928504056,4,7,"detection of muscle stretch"
"28","GO:0055003",1.39407477555726e-06,95.3607305936073,0.101678928504056,4,7,"cardiac myofibril assembly"
"29","GO:0045214",1.52075875130421e-06,36.2083333333333,0.217883418222977,5,15,"sarcomere organization"
"30","GO:0055007",1.52075875130421e-06,36.2083333333333,0.217883418222977,5,15,"cardiac muscle cell differentiation"
"31","GO:0030239",1.79184261431669e-06,20.9376257545272,0.392190152801358,6,27,"myofibril assembly"
"32","GO:0050817",2.18699484432491e-06,32.9103535353535,0.232408979437842,5,16,"coagulation"
"33","GO:0007596",2.18699484432491e-06,32.9103535353535,0.232408979437842,5,16,"blood coagulation"
"34","GO:0007599",2.18699484432491e-06,32.9103535353535,0.232408979437842,5,16,"hemostasis"
"35","GO:0014902",2.18699484432491e-06,32.9103535353535,0.232408979437842,5,16,"myotube differentiation"
"36","GO:0051146",2.19301935716747e-06,14.4111111111111,0.6245991322392,7,43,"striated muscle cell differentiation"
"37","GO:0048738",2.25436247718065e-06,19.9820742637644,0.406715714016223,6,28,"cardiac muscle tissue development"
"38","GO:0032989",2.37983007733991e-06,6.37613814756672,2.30956423316355,12,159,"cellular component morphogenesis"
"39","GO:0031032",2.57777136990148e-06,14.0189189189189,0.639124693454065,7,44,"actomyosin structure organization"
"40","GO:1903918",2.7574383972763e-06,71.5068493150685,0.116204489718921,4,8,"regulation of actin filament severing"
"41","GO:0045663",2.7574383972763e-06,71.5068493150685,0.116204489718921,4,8,"positive regulation of myoblast differentiation"
"42","GO:0048646",3.84195098100817e-06,6.68897637795276,2.00452744765139,11,138,"anatomical structure formation involved in morphogenesis"
"43","GO:0042692",4.08562466056567e-06,12.96,0.682701377098661,7,47,"muscle cell differentiation"
"44","GO:0010831",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"positive regulation of myotube differentiation"
"45","GO:0014897",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"striated muscle hypertrophy"
"46","GO:0051014",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"actin filament severing"
"47","GO:0035994",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"response to muscle stretch"
"48","GO:0045662",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"negative regulation of myoblast differentiation"
"49","GO:0003300",4.90873500951841e-06,57.1945205479452,0.130730050933786,4,9,"cardiac muscle hypertrophy"
"50","GO:0035051",5.62672685449915e-06,25.843253968254,0.275985663082437,5,19,"cardiocyte differentiation"
"51","GO:0010927",7.50955834410219e-06,15.682092555332,0.493869081305414,6,34,"cellular component assembly involved in morphogenesis"
"52","GO:0090175",8.0911661374355e-06,47.6529680365297,0.145255612148651,4,10,"regulation of establishment of planar polarity"
"53","GO:0014896",8.0911661374355e-06,47.6529680365297,0.145255612148651,4,10,"muscle hypertrophy"
"54","GO:0048468",1.16960842475945e-05,4.40464895635674,4.16883606866629,15,287,"cell development"
