"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0050794",4.61282820532213e-48,2.5534903630166,467.12507074137,691,1770,"regulation of cellular process"
"2","GO:0065007",7.70044053932408e-48,2.51295218675397,524.130164119977,752,1986,"biological regulation"
"3","GO:0050789",3.85228429904892e-47,2.5096033983895,495.891529900019,720,1879,"regulation of biological process"
"4","GO:0007165",6.60701523705623e-41,2.9591612396656,207.96302584418,368,788,"signal transduction"
"5","GO:0023052",1.2872441335484e-40,2.86074674422086,224.853423882286,389,852,"signaling"
"6","GO:0007154",7.44590067047378e-40,2.81173881083248,229.339935861158,393,869,"cell communication"
"7","GO:0051716",3.444944867117e-26,2.17103339192669,284.497641954348,425,1078,"cellular response to stimulus"
"8","GO:0050896",6.08789491524545e-23,1.96882073225619,353.90662139219,494,1341,"response to stimulus"
"9","GO:0006355",7.56714267150391e-18,2.1457700148258,169.695717789096,263,643,"regulation of transcription, DNA-templated"
"10","GO:1903506",9.69522074927352e-18,2.1395304240139,169.959630258442,263,644,"regulation of nucleic acid-templated transcription"
"11","GO:2001141",1.2407721390212e-17,2.13332350121672,170.223542727787,263,645,"regulation of RNA biosynthetic process"
"12","GO:2000112",6.62878558795201e-17,2.05050631328916,184.474816072439,278,699,"regulation of cellular macromolecule biosynthetic process"
"13","GO:0010556",2.06613162757374e-16,2.02352862342057,185.794378419166,278,704,"regulation of macromolecule biosynthetic process"
"14","GO:0035556",2.69213098913771e-16,2.63992446393762,84.9798151292209,151,322,"intracellular signal transduction"
"15","GO:0051252",3.8414152495281e-16,2.03659861274702,177.349179400113,267,672,"regulation of RNA metabolic process"
"16","GO:0010468",5.41955051284003e-16,1.95851533421514,202.948688926618,297,769,"regulation of gene expression"
"17","GO:0031326",9.3567373558693e-16,1.98541256157635,188.43350311262,279,714,"regulation of cellular biosynthetic process"
"18","GO:0006351",1.44347309602683e-15,1.97518592677346,188.961328051311,279,716,"transcription, DNA-templated"
"19","GO:0009889",1.64908719403503e-15,1.96751633087527,190.808715336729,281,723,"regulation of biosynthetic process"
"20","GO:0097659",1.79031483338081e-15,1.97010763209393,189.225240520656,279,717,"nucleic acid-templated transcription"
"21","GO:0032774",5.18054565204733e-15,1.94506006127056,190.544802867384,279,722,"RNA biosynthetic process"
"22","GO:0019219",9.67036277865667e-15,1.95270913341125,182.891341256367,269,693,"regulation of nucleobase-containing compound metabolic process"
"23","GO:0031323",1.30745821536869e-11,1.70208134250834,237.25730994152,320,899,"regulation of cellular metabolic process"
"24","GO:0060255",1.35579953856374e-11,1.69531646327438,241.743821920392,325,916,"regulation of macromolecule metabolic process"
"25","GO:0051171",1.40582976799667e-11,1.71310885176157,228.548198453122,310,866,"regulation of nitrogen compound metabolic process"
"26","GO:0080090",1.47413012315657e-11,1.70568382620446,233.034710431994,315,883,"regulation of primary metabolic process"
"27","GO:0019222",9.28117289607052e-11,1.64185975827791,255.731182795699,337,969,"regulation of metabolic process"
"28","GO:0007155",9.49903598442077e-11,3.0132804632427,38.7951329937748,75,147,"cell adhesion"
"29","GO:0022610",9.49903598442077e-11,3.0132804632427,38.7951329937748,75,147,"biological adhesion"
"30","GO:0034654",2.30930427979505e-10,1.67083811710677,219.047349556687,294,830,"nucleobase-containing compound biosynthetic process"
"31","GO:0019438",1.1470832228409e-09,1.62884624180764,225.381248820977,298,854,"aromatic compound biosynthetic process"
"32","GO:0018130",3.98500459247495e-09,1.59878948212282,228.548198453122,299,866,"heterocycle biosynthetic process"
"33","GO:1901362",8.00058910603156e-09,1.5773315819103,234.354272778721,304,888,"organic cyclic compound biosynthetic process"
"34","GO:0002009",1.2154633567116e-08,3.53488009965743,22.4325598943596,47,85,"morphogenesis of an epithelium"
"35","GO:0051056",3.40318361646033e-08,5.32231555880205,12.1399735898887,30,46,"regulation of small GTPase mediated signal transduction"
"36","GO:0007186",4.07561389816267e-08,2.69913531146662,34.3086210149028,63,130,"G protein-coupled receptor signaling pathway"
"37","GO:0030030",6.3723731327788e-08,2.29646666814104,48.8238068289002,82,185,"cell projection organization"
"38","GO:0007264",8.96061333171323e-08,3.29195545960686,22.1686474250141,45,84,"small GTPase mediated signal transduction"
"39","GO:0007399",1.03022622835787e-07,1.92410870810778,80.2293906810036,121,304,"nervous system development"
"40","GO:0120036",1.07634866421644e-07,2.28255729287864,47.7681569515186,80,181,"plasma membrane bounded cell projection organization"
"41","GO:0010646",2.93419146381415e-07,1.83181486460534,88.1467647613658,129,334,"regulation of cell communication"
"42","GO:0048729",3.54701642454068e-07,2.91415342457124,25.0716845878136,48,95,"tissue morphogenesis"
"43","GO:0007166",4.49758624549079e-07,2.00194206714944,62.5472552348613,97,237,"cell surface receptor signaling pathway"
"44","GO:0023051",5.10438922098055e-07,1.80104319111411,89.7302395774382,130,340,"regulation of signaling"
"45","GO:1902531",5.25190059240601e-07,2.22206216712866,45.3929447274099,75,172,"regulation of intracellular signal transduction"
"46","GO:0050793",6.97516069099671e-07,1.95913593256059,64.6585549896246,99,245,"regulation of developmental process"
"47","GO:0009653",7.69990456271542e-07,1.78578177727784,89.4663271080928,129,339,"anatomical structure morphogenesis"
"48","GO:2000026",1.17606852588483e-06,2.16785521755872,45.3929447274099,74,172,"regulation of multicellular organismal development"
"49","GO:0009966",1.38052802611507e-06,1.81657011649217,79.4376532729674,116,301,"regulation of signal transduction"
"50","GO:0098609",3.07450389118712e-06,2.78047063555913,22.9603848330504,43,87,"cell-cell adhesion"
"51","GO:0048634",3.82957699942049e-06,30.9157060518732,3.16694963214488,11,12,"regulation of muscle organ development"
"52","GO:1901861",3.82957699942049e-06,30.9157060518732,3.16694963214488,11,12,"regulation of muscle tissue development"
"53","GO:0016202",3.82957699942049e-06,30.9157060518732,3.16694963214488,11,12,"regulation of striated muscle tissue development"
