"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006468",1.62276224604815e-09,2.38652706984433,40.026787398604,78,383,"protein phosphorylation"
"2","GO:0016310",2.3387745873866e-07,2.03132647512009,47.6559139784946,82,456,"phosphorylation"
"3","GO:0006793",2.75837070730814e-06,1.72479263149342,75.9777400490474,113,727,"phosphorus metabolic process"
"4","GO:0006796",3.41777206433877e-06,1.71850752911505,75.4551971326165,112,722,"phosphate-containing compound metabolic process"
"5","GO:0050766",3.921812159761e-06,13.048623853211,1.56762874929259,9,15,"positive regulation of phagocytosis"
"6","GO:0036211",4.3921393010881e-06,1.65415281329923,90.3999245425391,129,865,"protein modification process"
"7","GO:0006464",4.3921393010881e-06,1.65415281329923,90.3999245425391,129,865,"cellular protein modification process"
"8","GO:0021549",6.15958209481533e-06,7.99340085942296,2.40369741558197,11,23,"cerebellum development"
"9","GO:0022037",6.15958209481533e-06,7.99340085942296,2.40369741558197,11,23,"metencephalon development"
"10","GO:0034605",6.15958209481533e-06,7.99340085942296,2.40369741558197,11,23,"cellular response to heat"
"11","GO:0010660",8.13778819733502e-06,11.1821756225426,1.67213733257876,9,16,"regulation of muscle cell apoptotic process"
"12","GO:0010657",8.13778819733502e-06,11.1821756225426,1.67213733257876,9,16,"muscle cell apoptotic process"
"13","GO:0048026",1.08315544499391e-05,13.8959706959707,1.35861158272024,8,13,"positive regulation of mRNA splicing, via spliceosome"
"14","GO:0050685",1.08315544499391e-05,13.8959706959707,1.35861158272024,8,13,"positive regulation of mRNA processing"
"15","GO:0071276",1.08315544499391e-05,13.8959706959707,1.35861158272024,8,13,"cellular response to cadmium ion"
"16","GO:0033120",1.08315544499391e-05,13.8959706959707,1.35861158272024,8,13,"positive regulation of RNA splicing"
"17","GO:0042026",1.66914530895236e-05,6.8485924756643,2.61271458215431,11,25,"protein refolding"
"18","GO:0061077",2.2219655456274e-05,5.81672816728167,3.13525749858517,12,30,"chaperone-mediated protein folding"
"19","GO:0048488",2.2969375693621e-05,11.5775335775336,1.46312016600641,8,14,"synaptic vesicle endocytosis"
"20","GO:0031343",2.2969375693621e-05,11.5775335775336,1.46312016600641,8,14,"positive regulation of cell killing"
"21","GO:0140238",2.2969375693621e-05,11.5775335775336,1.46312016600641,8,14,"presynaptic endocytosis"
"22","GO:0030902",2.62334246730427e-05,6.39066912216084,2.71722316544048,11,26,"hindbrain development"
"23","GO:0032570",2.85114785524565e-05,8.69357798165138,1.8811544991511,9,18,"response to progesterone"
"24","GO:0061740",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"protein targeting to lysosome involved in chaperone-mediated autophagy"
"25","GO:0071211",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"protein targeting to vacuole involved in autophagy"
"26","GO:0090083",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"regulation of inclusion body assembly"
"27","GO:0090084",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"negative regulation of inclusion body assembly"
"28","GO:0061462",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"protein localization to lysosome"
"29","GO:0006622",2.97527330494177e-05,15.1741316270567,1.1495944161479,7,11,"protein targeting to lysosome"
"30","GO:0001906",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"cell killing"
"31","GO:0031341",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"regulation of cell killing"
"32","GO:0010662",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"regulation of striated muscle cell apoptotic process"
"33","GO:0010664",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"negative regulation of striated muscle cell apoptotic process"
"34","GO:0010665",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"regulation of cardiac muscle cell apoptotic process"
"35","GO:0010667",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"negative regulation of cardiac muscle cell apoptotic process"
"36","GO:0010656",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"negative regulation of muscle cell apoptotic process"
"37","GO:0010658",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"striated muscle cell apoptotic process"
"38","GO:0010659",4.4738019732318e-05,9.92150706436421,1.56762874929259,8,15,"cardiac muscle cell apoptotic process"
"39","GO:0009408",4.66902496675231e-05,3.89178025609252,5.43444633088097,16,52,"response to heat"
"40","GO:0007186",5.10890267213933e-05,2.54095238095238,13.5861158272024,29,130,"G protein-coupled receptor signaling pathway"
"41","GO:0032879",6.24773540389627e-05,1.99959555106168,27.4857574042633,48,263,"regulation of localization"
"42","GO:0044849",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"estrous cycle"
"43","GO:0061741",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"chaperone-mediated protein transport involved in chaperone-mediated autophagy"
"44","GO:0061738",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"late endosomal microautophagy"
"45","GO:1990832",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"slow axonal transport"
"46","GO:1990834",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"response to odorant"
"47","GO:0061684",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"chaperone-mediated autophagy"
"48","GO:1904764",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"chaperone-mediated autophagy translocation complex disassembly"
"49","GO:0010045",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"response to nickel cation"
"50","GO:1904592",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"positive regulation of protein refolding"
"51","GO:0070841",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"inclusion body assembly"
"52","GO:0001913",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"T cell mediated cytotoxicity"
"53","GO:0001914",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"regulation of T cell mediated cytotoxicity"
"54","GO:0001916",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"positive regulation of T cell mediated cytotoxicity"
"55","GO:0097212",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"lysosomal membrane organization"
"56","GO:0097213",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"regulation of lysosomal membrane permeability"
"57","GO:0097214",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"positive regulation of lysosomal membrane permeability"
"58","GO:0072318",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"clathrin coat disassembly"
"59","GO:0072319",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"vesicle uncoating"
"60","GO:0002456",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"T cell mediated immunity"
"61","GO:1903334",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"positive regulation of protein folding"
"62","GO:0002711",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"positive regulation of T cell mediated immunity"
"63","GO:0002709",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"regulation of T cell mediated immunity"
"64","GO:0016191",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"synaptic vesicle uncoating"
"65","GO:0006623",6.49883245834702e-05,12.1367458866545,1.25410299943407,7,12,"protein targeting to vacuole"
"66","GO:0046685",8.0878249547838e-05,17.3138686131387,0.940577249575552,6,9,"response to arsenic-containing substance"
"67","GO:0043412",9.62753495413006e-05,1.51653231135192,97.8200339558574,131,936,"macromolecule modification"
"68","GO:0045807",0.000109234545138507,5.79901960784314,2.61271458215431,10,25,"positive regulation of endocytosis"
"69","GO:1905710",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"positive regulation of membrane permeability"
"70","GO:0001912",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"positive regulation of leukocyte mediated cytotoxicity"
"71","GO:0002460",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"72","GO:0002250",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"adaptive immune response"
"73","GO:0002821",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"positive regulation of adaptive immune response"
"74","GO:0002822",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"75","GO:0002824",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"76","GO:0002819",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"regulation of adaptive immune response"
"77","GO:0061083",0.000128171223072589,10.1118220597197,1.35861158272024,7,13,"regulation of protein refolding"
"78","GO:0050764",0.000129113125514753,6.51605504587156,2.19468024900962,9,21,"regulation of phagocytosis"
"79","GO:0006458",0.000129113125514753,6.51605504587156,2.19468024900962,9,21,"'de novo' protein folding"
"80","GO:0036465",0.00013968316782167,7.71347171347171,1.77664591586493,8,17,"synaptic vesicle recycling"
"81","GO:1903313",0.00013968316782167,7.71347171347171,1.77664591586493,8,17,"positive regulation of mRNA metabolic process"
"82","GO:1903332",0.00013968316782167,7.71347171347171,1.77664591586493,8,17,"regulation of protein folding"
"83","GO:0035821",0.00013968316782167,7.71347171347171,1.77664591586493,8,17,"modification of morphology or physiology of other organism"
"84","GO:0051817",0.00013968316782167,7.71347171347171,1.77664591586493,8,17,"modification of morphology or physiology of other organism involved in symbiotic interaction"
"85","GO:0009266",0.000158561828168986,3.41354610572128,5.95698924731183,16,57,"response to temperature stimulus"
"86","GO:0051261",0.000161110245429421,5.43543198529412,2.71722316544048,10,26,"protein depolymerization"
"87","GO:0099003",0.000176409639097526,4.78793738489871,3.23976608187135,11,31,"vesicle-mediated transport in synapse"
"88","GO:1903202",0.000228620519237042,6.94065934065934,1.8811544991511,8,18,"negative regulation of oxidative stress-induced cell death"
"89","GO:0002443",0.000232267450781909,5.11461937716263,2.82173174872666,10,27,"leukocyte mediated immunity"
"90","GO:0044829",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"positive regulation by host of viral genome replication"
"91","GO:0061635",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"regulation of protein complex stability"
"92","GO:2001039",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"negative regulation of cellular response to drug"
"93","GO:0001910",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"regulation of leukocyte mediated cytotoxicity"
"94","GO:0001909",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"leukocyte mediated cytotoxicity"
"95","GO:0007608",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"sensory perception of smell"
"96","GO:1901032",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"negative regulation of response to reactive oxygen species"
"97","GO:0002705",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"positive regulation of leukocyte mediated immunity"
"98","GO:0002708",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"positive regulation of lymphocyte mediated immunity"
"99","GO:1903206",0.000233373070451559,8.6654478976234,1.46312016600641,7,14,"negative regulation of hydrogen peroxide-induced cell death"
"100","GO:0099504",0.000243856497179029,4.55897570814698,3.34427466515752,11,32,"synaptic vesicle cycle"
"101","GO:0048024",0.000359113390122782,6.30835830835831,1.98566308243728,8,19,"regulation of mRNA splicing, via spliceosome"
"102","GO:0046686",0.000359113390122782,6.30835830835831,1.98566308243728,8,19,"response to cadmium ion"
"103","GO:1903201",0.000359113390122782,6.30835830835831,1.98566308243728,8,19,"regulation of oxidative stress-induced cell death"
"104","GO:0002699",0.000359113390122782,6.30835830835831,1.98566308243728,8,19,"positive regulation of immune effector process"
"105","GO:0032355",0.000359113390122782,6.30835830835831,1.98566308243728,8,19,"response to estradiol"
"106","GO:0044827",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"modulation by host of viral genome replication"
"107","GO:0042698",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"ovulation cycle"
"108","GO:2001024",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"negative regulation of response to drug"
"109","GO:2001038",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"regulation of cellular response to drug"
"110","GO:0090559",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"regulation of membrane permeability"
"111","GO:0002449",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"lymphocyte mediated immunity"
"112","GO:0002703",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"regulation of leukocyte mediated immunity"
"113","GO:0002706",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"regulation of lymphocyte mediated immunity"
"114","GO:0045070",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"positive regulation of viral genome replication"
"115","GO:1903205",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"regulation of hydrogen peroxide-induced cell death"
"116","GO:0072665",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"protein localization to vacuole"
"117","GO:0072666",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"establishment of protein localization to vacuole"
"118","GO:0044794",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"positive regulation by host of viral process"
"119","GO:0044788",0.000398428739830893,7.58066727605119,1.56762874929259,7,15,"modulation by host of viral process"
"120","GO:0045862",0.000445089970244515,4.16078148770918,3.55329183172986,11,34,"positive regulation of proteolysis"
"121","GO:0090169",0.000524216149526983,14.4019429265331,0.836068666289379,5,8,"regulation of spindle assembly"
"122","GO:1901673",0.000524216149526983,14.4019429265331,0.836068666289379,5,8,"regulation of mitotic spindle assembly"
"123","GO:0050684",0.00054436945622436,5.78144078144078,2.09017166572345,8,20,"regulation of mRNA processing"
"124","GO:1900408",0.00054436945622436,5.78144078144078,2.09017166572345,8,20,"negative regulation of cellular response to oxidative stress"
"125","GO:0006812",0.000585109004267266,1.92398671096346,22.2603282399547,38,213,"cation transport"
"126","GO:0042542",0.000611429397863032,4.8829128440367,2.61271458215431,9,25,"response to hydrogen peroxide"
"127","GO:0055085",0.000628488382587144,1.6118784308475,47.4468968119223,69,454,"transmembrane transport"
"128","GO:0036474",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"cell death in response to hydrogen peroxide"
"129","GO:0072321",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"chaperone-mediated protein transport"
"130","GO:1901031",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"regulation of response to reactive oxygen species"
"131","GO:1903902",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"positive regulation of viral life cycle"
"132","GO:0051702",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"interaction with symbiont"
"133","GO:0051851",0.000645054675380355,6.73694901482836,1.67213733257876,7,16,"modification by host of symbiont morphology or physiology"
"134","GO:0034504",0.000690164175740792,3.60198498536709,4.28485191473307,12,41,"protein localization to nucleus"
"135","GO:0071248",0.000799911813584118,5.33558748943364,2.19468024900962,8,21,"cellular response to metal ion"
"136","GO:0070301",0.000799911813584118,5.33558748943364,2.19468024900962,8,21,"cellular response to hydrogen peroxide"
"137","GO:1902883",0.000799911813584118,5.33558748943364,2.19468024900962,8,21,"negative regulation of response to oxidative stress"
"138","GO:0007606",0.000799911813584118,5.33558748943364,2.19468024900962,8,21,"sensory perception of chemical stimulus"
"139","GO:0008088",0.000799911813584118,5.33558748943364,2.19468024900962,8,21,"axo-dendritic transport"
"140","GO:0000302",0.000829801076762088,4.13690476190476,3.23976608187135,10,31,"response to reactive oxygen species"
"141","GO:1902904",0.000829801076762088,4.13690476190476,3.23976608187135,10,31,"negative regulation of supramolecular fiber organization"
"142","GO:0006457",0.000903031141457482,2.46663501608904,9.51028107904169,20,91,"protein folding"
"143","GO:0019538",0.000922367247246847,1.36336636880585,147.357102433503,179,1410,"protein metabolic process"
"144","GO:0030100",0.000993992784889171,3.67835387448647,3.86681758158838,11,37,"regulation of endocytosis"
"145","GO:0051085",0.000998814730671434,6.06197440585009,1.77664591586493,7,17,"chaperone cofactor-dependent protein refolding"
"146","GO:0060236",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"regulation of mitotic spindle organization"
"147","GO:0090063",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"positive regulation of microtubule nucleation"
"148","GO:0070868",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"heterochromatin organization involved in chromatin silencing"
"149","GO:0090224",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"regulation of spindle organization"
"150","GO:0097549",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"chromatin organization involved in negative regulation of transcription"
"151","GO:0010968",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"regulation of microtubule nucleation"
"152","GO:0034401",0.00107838852450092,10.7991803278689,0.940577249575552,5,9,"chromatin organization involved in regulation of transcription"
"153","GO:0061588",0.00113591642779178,Inf,0.313525749858517,3,3,"calcium activated phospholipid scrambling"
"154","GO:0071241",0.00114358724532875,4.9534275248561,2.29918883229579,8,22,"cellular response to inorganic substance"
"155","GO:1900407",0.00114358724532875,4.9534275248561,2.29918883229579,8,22,"regulation of cellular response to oxidative stress"
"156","GO:0006814",0.0013754136345584,3.26222324723247,4.59837766459159,12,44,"sodium ion transport"
"157","GO:0043066",0.00140689935185713,2.49680170575693,8.46519524617997,18,81,"negative regulation of apoptotic process"
"158","GO:0007040",0.00148893831976605,5.50972245304969,1.8811544991511,7,18,"lysosome organization"
"159","GO:0080171",0.00148893831976605,5.50972245304969,1.8811544991511,7,18,"lytic vacuole organization"
"160","GO:0051084",0.00148893831976605,5.50972245304969,1.8811544991511,7,18,"'de novo' posttranslational protein folding"
"161","GO:0048260",0.00149037644137965,17.2545454545455,0.627051499717035,4,6,"positive regulation of receptor-mediated endocytosis"
"162","GO:0030162",0.00159347206019488,2.63393420775759,7.2110922467459,16,69,"regulation of proteolysis"
"163","GO:0036473",0.00159551056421289,4.62222222222222,2.40369741558197,8,23,"cell death in response to oxidative stress"
"164","GO:0043484",0.00159551056421289,4.62222222222222,2.40369741558197,8,23,"regulation of RNA splicing"
"165","GO:0002697",0.00159551056421289,4.62222222222222,2.40369741558197,8,23,"regulation of immune effector process"
"166","GO:0030900",0.00160532676811043,3.41416732438832,4.07583474816072,11,39,"forebrain development"
"167","GO:0006897",0.00175504358373344,2.51541836316005,7.9426523297491,17,76,"endocytosis"
"168","GO:0001700",0.00182579884418978,6.48585766423358,1.46312016600641,6,14,"embryonic development via the syncytial blastoderm"
"169","GO:0007413",0.00197241559065784,8.63752276867031,1.04508583286172,5,10,"axonal fasciculation"
"170","GO:0070828",0.00197241559065784,8.63752276867031,1.04508583286172,5,10,"heterochromatin organization"
"171","GO:0046688",0.00197241559065784,8.63752276867031,1.04508583286172,5,10,"response to copper ion"
"172","GO:0106030",0.00197241559065784,8.63752276867031,1.04508583286172,5,10,"neuron projection fasciculation"
"173","GO:0032781",0.00197241559065784,8.63752276867031,1.04508583286172,5,10,"positive regulation of ATPase activity"
"174","GO:0006811",0.00201368697950415,1.61990795042218,35.9509526504433,53,344,"ion transport"
"175","GO:0018022",0.00204597157337276,3.90302752293578,3.030748915299,9,29,"peptidyl-lysine methylation"
"176","GO:1901654",0.00204597157337276,3.90302752293578,3.030748915299,9,29,"response to ketone"
"177","GO:0002252",0.00209641404768456,2.90080098582871,5.43444633088097,13,52,"immune effector process"
"178","GO:0051924",0.00214800286205795,5.04951249238269,1.98566308243728,7,19,"regulation of calcium ion transport"
"179","GO:0046777",0.00214800286205795,5.04951249238269,1.98566308243728,7,19,"protein autophosphorylation"
"180","GO:0014823",0.00214800286205795,5.04951249238269,1.98566308243728,7,19,"response to activity"
"181","GO:0045069",0.00214800286205795,5.04951249238269,1.98566308243728,7,19,"regulation of viral genome replication"
"182","GO:0045471",0.00214800286205795,5.04951249238269,1.98566308243728,7,19,"response to ethanol"
"183","GO:0034614",0.00217794622087824,4.33241758241758,2.50820599886814,8,24,"cellular response to reactive oxygen species"
"184","GO:0006909",0.00233784542284818,3.47205882352941,3.65780041501603,10,35,"phagocytosis"
"185","GO:0010970",0.00233784542284818,3.47205882352941,3.65780041501603,10,35,"transport along microtubule"
"186","GO:1903311",0.00233784542284818,3.47205882352941,3.65780041501603,10,35,"regulation of mRNA metabolic process"
"187","GO:0099111",0.00233784542284818,3.47205882352941,3.65780041501603,10,35,"microtubule-based transport"
"188","GO:0032880",0.00235106999843448,2.24190915202151,10.2418411620449,20,98,"regulation of protein localization"
"189","GO:0006508",0.00242356693419011,1.57607133484135,39.6087530654593,57,379,"proteolysis"
"190","GO:0051049",0.0024255849438236,1.91630504833512,16.9303904923599,29,162,"regulation of transport"
"191","GO:0043069",0.00249780107190001,2.34573401648474,8.88322957932466,18,85,"negative regulation of programmed cell death"
"192","GO:0050776",0.00272681220096492,2.56247953726945,6.89756649688738,15,66,"regulation of immune response"
"193","GO:0007338",0.00277737891376236,5.7639902676399,1.56762874929259,6,15,"single fertilization"
