"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0046034",9.51940188693628e-25,104.873522458629,0.422561780796076,17,64,"ATP metabolic process"
"2","GO:0009205",2.3041011778365e-24,98.5244444444444,0.442369364270892,17,67,"purine ribonucleoside triphosphate metabolic process"
"3","GO:0009199",3.06216675944327e-24,96.5740740740741,0.448971892095831,17,68,"ribonucleoside triphosphate metabolic process"
"4","GO:0009144",4.05007344831635e-24,94.6987179487179,0.45557441992077,17,69,"purine nucleoside triphosphate metabolic process"
"5","GO:0009167",9.11765094972907e-24,89.4818181818182,0.475382003395586,17,72,"purine ribonucleoside monophosphate metabolic process"
"6","GO:0009126",9.11765094972907e-24,89.4818181818182,0.475382003395586,17,72,"purine nucleoside monophosphate metabolic process"
"7","GO:0009141",1.18469115254504e-23,87.8670634920635,0.481984531220524,17,73,"nucleoside triphosphate metabolic process"
"8","GO:0009161",1.97591953400797e-23,84.8045977011494,0.495189586870402,17,75,"ribonucleoside monophosphate metabolic process"
"9","GO:0009123",2.53698243911916e-23,83.3512241054614,0.50179211469534,17,76,"nucleoside monophosphate metabolic process"
"10","GO:0009150",4.89151914383441e-21,58.2632275132275,0.666855310318808,17,101,"purine ribonucleotide metabolic process"
"11","GO:0009259",6.98432078764978e-21,56.8863049095607,0.680060365968685,17,103,"ribonucleotide metabolic process"
"12","GO:0006163",1.392258564456e-20,54.3160493827161,0.70647047726844,17,107,"purine nucleotide metabolic process"
"13","GO:0019693",1.64695268217006e-20,53.7087912087912,0.713073005093379,17,108,"ribose phosphate metabolic process"
"14","GO:0072521",5.09772442890685e-20,49.8049886621315,0.759290699867949,17,115,"purine-containing compound metabolic process"
"15","GO:0017144",2.79944759290652e-18,34.2308265078183,1.16204489718921,18,176,"drug metabolic process"
"16","GO:0009117",4.44800147585809e-18,37.020780322307,0.977174118090926,17,148,"nucleotide metabolic process"
"17","GO:0006753",6.31821917888896e-18,36.1708126036484,0.996981701565742,17,151,"nucleoside phosphate metabolic process"
"18","GO:0055086",1.46209142710539e-16,29.3814363143631,1.1950575363139,17,181,"nucleobase-containing small molecule metabolic process"
"19","GO:0006754",1.05689332423228e-15,104.92,0.198075834748161,10,30,"ATP biosynthetic process"
"20","GO:0009145",2.24983816909005e-15,95.3454545454545,0.211280890398038,10,32,"purine nucleoside triphosphate biosynthetic process"
"21","GO:0009206",2.24983816909005e-15,95.3454545454545,0.211280890398038,10,32,"purine ribonucleoside triphosphate biosynthetic process"
"22","GO:0009142",3.21412092983924e-15,91.1826086956522,0.217883418222977,10,33,"nucleoside triphosphate biosynthetic process"
"23","GO:0009201",3.21412092983924e-15,91.1826086956522,0.217883418222977,10,33,"ribonucleoside triphosphate biosynthetic process"
"24","GO:0019637",4.25726079842688e-15,21.6068866571019,1.74306734578381,18,264,"organophosphate metabolic process"
"25","GO:0009168",1.18883553432246e-14,77.6148148148148,0.244293529522732,10,37,"purine ribonucleoside monophosphate biosynthetic process"
"26","GO:0009127",1.18883553432246e-14,77.6148148148148,0.244293529522732,10,37,"purine nucleoside monophosphate biosynthetic process"
"27","GO:0009156",2.1511008833575e-14,72.2344827586207,0.257498585172609,10,39,"ribonucleoside monophosphate biosynthetic process"
"28","GO:0009124",2.85576549873175e-14,69.8133333333333,0.264101112997548,10,40,"nucleoside monophosphate biosynthetic process"
"29","GO:1901135",1.94117645830073e-13,16.927514231499,2.16562912657989,18,328,"carbohydrate derivative metabolic process"
"30","GO:0006091",3.6088699247297e-13,39.7680555555556,0.468779475570647,11,71,"generation of precursor metabolites and energy"
"31","GO:0022904",4.59058590093648e-13,111.153439153439,0.145255612148651,8,22,"respiratory electron transport chain"
