"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006412",0.00017575390048768,3.32276785714286,5.18487077909828,15,239,"translation"
"2","GO:0043043",0.000201775333122666,3.27687224669604,5.24995283908696,15,242,"peptide biosynthetic process"
"3","GO:0043604",0.000357041426334655,3.09125,5.53197509903792,15,255,"amide biosynthetic process"
"4","GO:0045833",0.000466626090484885,Inf,0.0433880399924543,2,2,"negative regulation of lipid metabolic process"
"5","GO:0006518",0.000681140895626909,2.888671875,5.87907941897755,15,271,"peptide metabolic process"
"6","GO:0043603",0.000775700346723674,2.74859708193042,6.59498207885305,16,304,"cellular amide metabolic process"
"7","GO:0016032",0.00124779811895378,7.09779614325069,0.824372759856631,5,38,"viral process"
"8","GO:0010467",0.00126152517187433,1.87066179725542,28.1588379551028,43,1298,"gene expression"
"9","GO:0070071",0.00137997687563477,91.7699115044248,0.0650820599886814,2,3,"proton-transporting two-sector ATPase complex assembly"
"10","GO:0045598",0.00144541594317779,17.3370535714286,0.238634219958498,3,11,"regulation of fat cell differentiation"
"11","GO:0044403",0.00269234647478369,5.84772727272727,0.976230899830221,5,45,"symbiont process"
"12","GO:0045599",0.0027207820344689,45.8761061946903,0.0867760799849085,2,4,"negative regulation of fat cell differentiation"
"13","GO:0019058",0.00287837091763038,7.75075075075075,0.60743255989436,4,28,"viral life cycle"
"14","GO:0044419",0.00326608201945412,5.56709956709957,1.01961893982267,5,47,"interspecies interaction between organisms"
"15","GO:0090150",0.00420777317303525,6.88555221888555,0.672514619883041,4,31,"establishment of protein localization to membrane"
"16","GO:0097428",0.00447038468839781,30.5781710914454,0.108470099981136,2,5,"protein maturation by iron-sulfur cluster transfer"
"17","GO:0016339",0.00447038468839781,30.5781710914454,0.108470099981136,2,5,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules"
"18","GO:0061024",0.00541511854469878,3.58876811594203,2.14770797962649,7,99,"membrane organization"
"19","GO:0043029",0.00661072422656663,22.929203539823,0.130164119977363,2,6,"T cell homeostasis"
"20","GO:0051205",0.00661072422656663,22.929203539823,0.130164119977363,2,6,"protein insertion into membrane"
"21","GO:0019079",0.00866290371128139,8.14443277310924,0.433880399924543,3,20,"viral genome replication"
"22","GO:0030512",0.00912431957768068,18.3398230088496,0.15185813997359,2,7,"negative regulation of transforming growth factor beta receptor signaling pathway"
"23","GO:1903845",0.00912431957768068,18.3398230088496,0.15185813997359,2,7,"negative regulation of cellular response to transforming growth factor beta stimulus"
"24","GO:0009267",0.00994909548657054,7.69047619047619,0.45557441992077,3,21,"cellular response to starvation"
"25","GO:0045444",0.00994909548657054,7.69047619047619,0.45557441992077,3,21,"fat cell differentiation"
"26","GO:0031669",0.0113405211343834,7.2843045112782,0.477268439916997,3,22,"cellular response to nutrient levels"
"27","GO:0006903",0.0119942529172743,15.2802359882006,0.173552159969817,2,8,"vesicle targeting"
"28","GO:0045638",0.0119942529172743,15.2802359882006,0.173552159969817,2,8,"negative regulation of myeloid cell differentiation"
"29","GO:0031668",0.0128386165983867,6.91875,0.498962459913224,3,23,"cellular response to extracellular stimulus"
"30","GO:0031032",0.0146366358877917,4.63603603603604,0.954536879833994,4,44,"actomyosin structure organization"
"31","GO:0007007",0.0152041537996463,13.094816687737,0.195246179966044,2,9,"inner mitochondrial membrane organization"
"32","GO:0001776",0.0152041537996463,13.094816687737,0.195246179966044,2,9,"leukocyte homeostasis"
"33","GO:0002260",0.0152041537996463,13.094816687737,0.195246179966044,2,9,"lymphocyte homeostasis"
"34","GO:1903707",0.0152041537996463,13.094816687737,0.195246179966044,2,9,"negative regulation of hemopoiesis"
"35","GO:0034641",0.0155413314997278,1.54627592851819,36.6628937936238,48,1690,"cellular nitrogen compound metabolic process"
"36","GO:0042129",0.0187381837039414,11.4557522123894,0.216940199962271,2,10,"regulation of T cell proliferation"
"37","GO:0050673",0.019918018554815,5.76116071428571,0.585738539898132,3,27,"epithelial cell proliferation"
"38","GO:0002683",0.019918018554815,5.76116071428571,0.585738539898132,3,27,"negative regulation of immune system process"
"39","GO:0038158",0.0216940199962274,Inf,0.0216940199962271,1,1,"granulocyte colony-stimulating factor signaling pathway"
"40","GO:0044828",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation by host of viral genome replication"
"41","GO:1904398",0.0216940199962274,Inf,0.0216940199962271,1,1,"positive regulation of neuromuscular junction development"
"42","GO:0045953",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of natural killer cell mediated cytotoxicity"
"43","GO:0032692",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of interleukin-1 production"
"44","GO:0003190",0.0216940199962274,Inf,0.0216940199962271,1,1,"atrioventricular valve formation"
"45","GO:0006924",0.0216940199962274,Inf,0.0216940199962271,1,1,"activation-induced cell death of T cells"
"46","GO:0003181",0.0216940199962274,Inf,0.0216940199962271,1,1,"atrioventricular valve morphogenesis"
"47","GO:0003171",0.0216940199962274,Inf,0.0216940199962271,1,1,"atrioventricular valve development"
"48","GO:0044528",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of mitochondrial mRNA stability"
"49","GO:0050855",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of B cell receptor signaling pathway"
"50","GO:0050859",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of B cell receptor signaling pathway"
"51","GO:0050819",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of coagulation"
"52","GO:0003294",0.0216940199962274,Inf,0.0216940199962271,1,1,"atrial ventricular junction remodeling"
"53","GO:0055108",0.0216940199962274,Inf,0.0216940199962271,1,1,"Golgi to transport vesicle transport"
"54","GO:0048341",0.0216940199962274,Inf,0.0216940199962271,1,1,"paraxial mesoderm formation"
"55","GO:0048305",0.0216940199962274,Inf,0.0216940199962271,1,1,"immunoglobulin secretion"
"56","GO:0050995",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of lipid catabolic process"
"57","GO:0060819",0.0216940199962274,Inf,0.0216940199962271,1,1,"inactivation of X chromosome by genetic imprinting"
"58","GO:0070341",0.0216940199962274,Inf,0.0216940199962271,1,1,"fat cell proliferation"
"59","GO:0070342",0.0216940199962274,Inf,0.0216940199962271,1,1,"brown fat cell proliferation"
"60","GO:0070344",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of fat cell proliferation"
"61","GO:0070345",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of fat cell proliferation"
"62","GO:0070347",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of brown fat cell proliferation"
"63","GO:0070348",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of brown fat cell proliferation"
"64","GO:0048753",0.0216940199962274,Inf,0.0216940199962271,1,1,"pigment granule organization"
"65","GO:0033059",0.0216940199962274,Inf,0.0216940199962271,1,1,"cellular pigmentation"
"66","GO:0007110",0.0216940199962274,Inf,0.0216940199962271,1,1,"meiosis I cytokinesis"
"67","GO:0048521",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of behavior"
"68","GO:0048541",0.0216940199962274,Inf,0.0216940199962271,1,1,"Peyer's patch development"
"69","GO:0048537",0.0216940199962274,Inf,0.0216940199962271,1,1,"mucosal-associated lymphoid tissue development"
"70","GO:0070230",0.0216940199962274,Inf,0.0216940199962271,1,1,"positive regulation of lymphocyte apoptotic process"
"71","GO:0070234",0.0216940199962274,Inf,0.0216940199962271,1,1,"positive regulation of T cell apoptotic process"
"72","GO:0070235",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of activation-induced cell death of T cells"
"73","GO:0070237",0.0216940199962274,Inf,0.0216940199962271,1,1,"positive regulation of activation-induced cell death of T cells"
"74","GO:0010152",0.0216940199962274,Inf,0.0216940199962271,1,1,"pollen maturation"
"75","GO:0046851",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of bone remodeling"
"76","GO:0070836",0.0216940199962274,Inf,0.0216940199962271,1,1,"caveola assembly"
"77","GO:2001212",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of vasculogenesis"
"78","GO:2001214",0.0216940199962274,Inf,0.0216940199962271,1,1,"positive regulation of vasculogenesis"
"79","GO:0090330",0.0216940199962274,Inf,0.0216940199962271,1,1,"regulation of platelet aggregation"
"80","GO:0090331",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of platelet aggregation"
"81","GO:0001911",0.0216940199962274,Inf,0.0216940199962271,1,1,"negative regulation of leukocyte mediated cytotoxicity"
