"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0034641",5.77870723044024e-25,1.83997160099397,813.916242218449,988,1690,"cellular nitrogen compound metabolic process"
"2","GO:0034660",1.1308213562315e-24,6.39641281411855,83.3180531975099,147,173,"ncRNA metabolic process"
"3","GO:0043043",1.96691713052438e-24,4.38810673443456,116.548953027731,192,242,"peptide biosynthetic process"
"4","GO:0043604",2.95454073721955e-24,4.16180504578295,122.809847198642,200,255,"amide biosynthetic process"
"5","GO:0006412",9.6668085659609e-24,4.31406091370558,115.104131295982,189,239,"translation"
"6","GO:0006396",1.40194299415453e-22,3.53780006517253,139.66610073571,219,290,"RNA processing"
"7","GO:0006518",1.90130568734489e-22,3.70036764705882,130.515563101302,207,271,"peptide metabolic process"
"8","GO:0043603",3.27994514881399e-19,3.04286614726487,146.408602150538,221,304,"cellular amide metabolic process"
"9","GO:0044237",1.90740437130121e-18,1.62082195445476,1390.40011318619,1548,2887,"cellular metabolic process"
"10","GO:0034470",1.13778741536819e-17,6.16066821465428,59.719298245614,105,124,"ncRNA processing"
"11","GO:0006807",2.63895132279468e-17,1.59156429192388,1348.50028296548,1501,2800,"nitrogen compound metabolic process"
"12","GO:0043170",3.70467133253009e-16,1.56305542698449,1214.13186191285,1361,2521,"macromolecule metabolic process"
"13","GO:0042254",4.3353259594837e-16,10.2238805970149,39.4917940011319,74,82,"ribosome biogenesis"
"14","GO:0006399",4.7145667874777e-16,6.97166038829325,49.1239388794567,88,102,"tRNA metabolic process"
"15","GO:0022613",6.38321990156531e-16,5.92592592592593,54.9032258064516,96,114,"ribonucleoprotein complex biogenesis"
"16","GO:0044238",1.06658002280259e-15,1.55735254772751,1438.56083757782,1582,2987,"primary metabolic process"
"17","GO:1901566",1.68632717462426e-15,2.11483516483516,248.027730616865,333,515,"organonitrogen compound biosynthetic process"
"18","GO:0071704",1.08818846636097e-14,1.53859548551036,1514.17317487267,1651,3144,"organic substance metabolic process"
"19","GO:0010467",1.11913033593736e-14,1.6355628590632,625.126202603282,745,1298,"gene expression"
"20","GO:0044265",1.08342257921326e-13,3.2389188069594,90.0605546123373,139,187,"cellular macromolecule catabolic process"
"21","GO:0046483",1.63876168605449e-13,1.56895702666284,706.999434069044,826,1468,"heterocycle metabolic process"
"22","GO:0006139",1.77844020140234e-13,1.57491612903226,685.327108092813,803,1423,"nucleobase-containing compound metabolic process"
"23","GO:0006725",2.06416230053922e-13,1.56577313386062,707.48104131296,826,1469,"cellular aromatic compound metabolic process"
"24","GO:0006974",2.07785178320288e-13,3.23362001426069,88.1341256366723,136,183,"cellular response to DNA damage stimulus"
"25","GO:0044257",2.57083682165102e-13,4.12529895584203,63.572156196944,104,132,"cellular protein catabolic process"
"26","GO:0051603",2.57083682165102e-13,4.12529895584203,63.572156196944,104,132,"proteolysis involved in cellular protein catabolic process"
"27","GO:0008152",3.78532549551867e-13,1.52689769337382,1711.15053763441,1834,3553,"metabolic process"
"28","GO:1901360",1.08222772472377e-12,1.53839754424208,726.263723825693,842,1508,"organic cyclic compound metabolic process"
"29","GO:0006259",1.90057075744651e-12,2.6933122847302,109.806451612903,161,228,"DNA metabolic process"
"30","GO:0090304",2.05241364645702e-12,1.57269258035809,600.564233163554,708,1247,"nucleic acid metabolic process"
"31","GO:0043632",3.17613547514924e-12,4.24299065420561,55.8664402942841,92,116,"modification-dependent macromolecule catabolic process"
"32","GO:0044267",4.62215951927922e-12,1.57345116697824,571.186191284663,675,1186,"cellular protein metabolic process"
"33","GO:0033554",6.74401649565807e-12,2.25608194622279,151.706281833616,210,315,"cellular response to stress"
"34","GO:0019941",1.48477394485276e-11,4.09963474025974,54.4216185625354,89,113,"modification-dependent protein catabolic process"
"35","GO:0006511",1.48477394485276e-11,4.09963474025974,54.4216185625354,89,113,"ubiquitin-dependent protein catabolic process"
"36","GO:0030163",1.81421345419548e-11,2.98350998080109,83.3180531975099,126,173,"protein catabolic process"
"37","GO:0009057",2.3401275933046e-11,2.54088793412102,110.288058856819,159,229,"macromolecule catabolic process"
"38","GO:0006281",6.25857637425117e-11,3.49866631627357,62.1273344651952,98,129,"DNA repair"
"39","GO:0016072",1.47834448520889e-10,8.94289137380192,26.4883984153933,49,55,"rRNA metabolic process"
"40","GO:0006364",3.93198209226495e-10,9.8433014354067,24.0803621958121,45,50,"rRNA processing"
"41","GO:0008033",8.04665605760695e-10,6.45186666666667,29.859649122807,53,62,"tRNA processing"
"42","GO:0044260",1.42975833594768e-09,1.40370918559186,958.880022637238,1064,1991,"cellular macromolecule metabolic process"
"43","GO:0009451",1.55725470328841e-09,5.58022354097644,32.2676853423882,56,67,"RNA modification"
"44","GO:1901565",1.83758573757541e-08,2.17908748576933,108.361629881154,149,225,"organonitrogen compound catabolic process"
"45","GO:0006400",2.01414388735975e-08,16.8766851704996,15.893039049236,31,33,"tRNA modification"
"46","GO:0019538",3.78462009711939e-08,1.40043864070043,679.066213921902,766,1410,"protein metabolic process"
"47","GO:0006260",5.20968042791961e-08,3.69321858281703,39.9734012450481,64,83,"DNA replication"
"48","GO:0008380",6.97691665266332e-08,3.34010401162689,44.7894736842105,70,93,"RNA splicing"
"49","GO:0043038",8.82842557677481e-08,9.25922985311632,18.3010752688172,34,38,"amino acid activation"
"50","GO:0043039",8.82842557677481e-08,9.25922985311632,18.3010752688172,34,38,"tRNA aminoacylation"
"51","GO:0006418",8.82842557677481e-08,9.25922985311632,18.3010752688172,34,38,"tRNA aminoacylation for protein translation"
"52","GO:1901575",2.80860440800796e-07,1.76658782125256,166.63610639502,212,346,"organic substance catabolic process"
"53","GO:0009987",3.23701590915421e-07,1.37981387981388,1928.83701188455,2007,4005,"cellular process"
"54","GO:0044248",3.73965329472387e-07,1.73919853166106,172.415393322015,218,358,"cellular catabolic process"
"55","GO:0009056",4.54839667514038e-07,1.67586424952241,196.014148273911,244,407,"catabolic process"
"56","GO:0010498",5.74290313712995e-07,3.68967587034814,33.712507074137,54,70,"proteasomal protein catabolic process"
"57","GO:0016071",9.48744435955783e-07,2.26852244897959,73.6859083191851,103,153,"mRNA metabolic process"
"58","GO:0043161",1.43951947677991e-06,3.94576094296765,28.8964346349745,47,60,"proteasome-mediated ubiquitin-dependent protein catabolic process"
"59","GO:0007049",1.45760644746416e-06,1.83685325418268,126.662705149972,164,263,"cell cycle"
"60","GO:0006886",2.90536664312933e-06,1.97379910128537,95.358234295416,127,198,"intracellular protein transport"
"61","GO:0006397",3.42133025594984e-06,2.52431460344258,52.4951895868704,76,109,"mRNA processing"
"62","GO:0000398",7.17316622210939e-06,3.00320256204964,36.1205432937182,55,75,"mRNA splicing, via spliceosome"
"63","GO:0000375",7.17316622210939e-06,3.00320256204964,36.1205432937182,55,75,"RNA splicing, via transesterification reactions"
"64","GO:0000377",7.17316622210939e-06,3.00320256204964,36.1205432937182,55,75,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"65","GO:0044249",7.80425105990038e-06,1.31049015607126,681.955857385399,752,1416,"cellular biosynthetic process"
"66","GO:0016070",1.4044950171757e-05,1.33501888182739,517.246179966044,579,1074,"RNA metabolic process"
"67","GO:0034645",1.97294414819564e-05,1.31779736904439,556.737973967176,619,1156,"cellular macromolecule biosynthetic process"
"68","GO:0015031",2.7034580679039e-05,1.68850009639483,126.662705149972,159,263,"protein transport"
"69","GO:0042886",2.82079420606154e-05,1.68300399976121,127.625919637804,160,265,"amide transport"
"70","GO:1901576",2.96187837888401e-05,1.28404204686521,694.477645727221,760,1442,"organic substance biosynthetic process"
"71","GO:1901564",3.41828333500041e-05,1.26458620752416,839.44142614601,908,1743,"organonitrogen compound metabolic process"
"72","GO:0009059",3.48443202300872e-05,1.30503091966978,561.554046406338,622,1166,"macromolecule biosynthetic process"
"73","GO:0015833",3.61465371553714e-05,1.67178660938059,127.144312393888,159,264,"peptide transport"
"74","GO:0006520",3.75137322758957e-05,2.28342892354363,50.5687606112054,71,105,"cellular amino acid metabolic process"
"75","GO:0045184",3.87142644361107e-05,1.64256692825736,135.331635540464,168,281,"establishment of protein localization"
"76","GO:0022618",4.36110135649188e-05,3.80579825258141,21.6723259762309,35,45,"ribonucleoprotein complex assembly"
"77","GO:0000278",4.61244743411201e-05,2.06874662344679,62.6089417091115,85,130,"mitotic cell cycle"
"78","GO:0009058",5.37699692543249e-05,1.27031749932559,712.297113752122,776,1479,"biosynthetic process"
"79","GO:0071840",5.80298484375066e-05,1.31303471930026,486.423316355405,542,1010,"cellular component organization or biogenesis"
"80","GO:0001522",7.38098060668452e-05,Inf,6.26089417091115,13,13,"pseudouridine synthesis"
"81","GO:0051276",7.5721594161363e-05,1.65843543588968,119.438596491228,149,248,"chromosome organization"
"82","GO:0070647",7.72981772789938e-05,1.84618677875727,81.3916242218449,106,169,"protein modification by small protein conjugation or removal"
"83","GO:0071826",9.81433902514311e-05,3.45855296411293,22.1539332201471,35,46,"ribonucleoprotein complex subunit organization"
"84","GO:0006950",0.000144666058589185,1.40908289241623,245.619694397284,285,510,"response to stress"
"85","GO:0006289",0.000149793011922071,16.2352245862884,7.70571590265988,15,16,"nucleotide-excision repair"
"86","GO:0006261",0.000158186968201414,3.93522187004754,17.819468024901,29,37,"DNA-dependent DNA replication"
"87","GO:0022402",0.000217521478483452,1.69593635616643,94.3950198075835,119,196,"cell cycle process"
"88","GO:1903047",0.000229294550515979,2.04005683023029,52.4951895868704,71,109,"mitotic cell cycle process"
"89","GO:0032446",0.000302990272384616,1.87398021176879,64.0537634408602,84,133,"protein modification by small protein conjugation"
"90","GO:0006415",0.000319715058575337,Inf,5.29767968307866,11,11,"translational termination"
"91","GO:0071705",0.000330965445437707,1.49740961997268,152.187889077533,182,316,"nitrogen compound transport"
"92","GO:0046907",0.000332507993547476,1.4788488700565,162.301641199774,193,337,"intracellular transport"
"93","GO:0006457",0.000427482416595069,2.10939016342533,43.826259196378,60,91,"protein folding"
"94","GO:0043436",0.000438516168067355,1.63162805630524,98.2478777589134,122,204,"oxoacid metabolic process"
"95","GO:0006082",0.000438516168067355,1.63162805630524,98.2478777589134,122,204,"organic acid metabolic process"
"96","GO:0018193",0.000499555093974204,1.76487948844073,71.7594793435201,92,149,"peptidyl-amino acid modification"
"97","GO:0042274",0.000572444736462453,14.0594488188976,6.74250141482739,13,14,"ribosomal small subunit biogenesis"
"98","GO:0000075",0.000577459474315269,4.15454545454545,13.966610073571,23,29,"cell cycle checkpoint"
"99","GO:0006403",0.000696383234108828,3.52394143252869,16.3746462931522,26,34,"RNA localization"
"100","GO:0019752",0.000703108861290183,1.60356079516406,97.2846632710809,120,202,"carboxylic acid metabolic process"
"101","GO:0030433",0.00110659643795942,4.33162258191867,12.0401810979061,20,25,"ubiquitin-dependent ERAD pathway"
"102","GO:0051168",0.00110659643795942,4.33162258191867,12.0401810979061,20,25,"nuclear export"
"103","GO:0042255",0.00111150422241158,12.9728453364817,6.26089417091115,12,13,"ribosome assembly"
"104","GO:0000209",0.00120868252261867,2.80253766851705,20.7091114883984,31,43,"protein polyubiquitination"
"105","GO:0006405",0.00123295736665314,4.87100591715976,10.5953593661573,18,22,"RNA export from nucleus"
"106","GO:0042273",0.00129894242353904,7.5706971248523,7.70571590265988,14,16,"ribosomal large subunit biogenesis"
"107","GO:0007005",0.00146975952673623,1.92114390882707,45.2710809281268,60,94,"mitochondrion organization"
"108","GO:0007346",0.00151035220402155,2.35282418456643,27.4516129032258,39,57,"regulation of mitotic cell cycle"
"109","GO:0070727",0.00222650869308522,1.4091909206592,147.37181663837,172,306,"cellular macromolecule localization"
"110","GO:0006611",0.0023276349362891,5.40780141843972,8.66893039049236,15,18,"protein export from nucleus"
"111","GO:0031398",0.00262688277570619,3.60836952230557,12.5217883418223,20,26,"positive regulation of protein ubiquitination"
"112","GO:1903322",0.00262688277570619,3.60836952230557,12.5217883418223,20,26,"positive regulation of protein modification by small protein conjugation or removal"
"113","GO:0044271",0.00285910512197557,1.20795894358152,534.584040747029,576,1110,"cellular nitrogen compound biosynthetic process"
"114","GO:0006282",0.00287787104214309,Inf,3.85285795132994,8,8,"regulation of DNA repair"
"115","GO:0034613",0.00312579360951207,1.393800146339,145.445387662705,169,302,"cellular protein localization"
"116","GO:0016567",0.00339257601797038,1.67910447761194,58.7560837577816,74,122,"protein ubiquitination"
"117","GO:0016073",0.00408531265250168,5.04529342260733,8.18732314657612,14,17,"snRNA metabolic process"
"118","GO:0002097",0.00412008737104693,10.8022021234762,5.29767968307866,10,11,"tRNA wobble base modification"
"119","GO:0002098",0.00412008737104693,10.8022021234762,5.29767968307866,10,11,"tRNA wobble uridine modification"
