"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0055114",1.39998552185121e-11,3.60462910263707,16.9213355970572,48,300,"oxidation-reduction process"
"2","GO:0044281",3.99835965823315e-06,2.23673449131514,25.4948122995661,49,452,"small molecule metabolic process"
"3","GO:0055085",4.53876306453593e-06,2.22472098765432,25.6076212035465,49,454,"transmembrane transport"
"4","GO:0006629",1.13820053023982e-05,2.46798871063577,16.3572910771553,35,290,"lipid metabolic process"
"5","GO:0042445",1.48934669764448e-05,9.79479626902307,1.24089794378419,8,22,"hormone metabolic process"
"6","GO:0006720",1.88343579131985e-05,7.73068965517241,1.63572910771553,9,29,"isoprenoid metabolic process"
"7","GO:0019752",5.48550415589077e-05,2.61147186147186,11.3936993020185,26,202,"carboxylic acid metabolic process"
"8","GO:0043436",6.5004736644756e-05,2.58105939004815,11.5065082059989,26,204,"oxoacid metabolic process"
"9","GO:0006082",6.5004736644756e-05,2.58105939004815,11.5065082059989,26,204,"organic acid metabolic process"
"10","GO:0009074",0.000110051712791106,16.9965986394558,0.564044519901905,5,10,"aromatic amino acid family catabolic process"
"11","GO:0034754",0.000110051712791106,16.9965986394558,0.564044519901905,5,10,"cellular hormone metabolic process"
"12","GO:1901605",0.000152940633729969,4.91052891744933,2.53820033955857,10,45,"alpha-amino acid metabolic process"
"13","GO:0044255",0.000170717388216635,2.45840639399747,11.5065082059989,25,204,"cellular lipid metabolic process"
"14","GO:0006066",0.000298320848717844,5.70217640320733,1.8049424636861,8,32,"alcohol metabolic process"
"15","GO:1901615",0.000436626199970089,3.86075680272109,3.38426711941143,11,60,"organic hydroxy compound metabolic process"
"16","GO:0009308",0.000444494344753032,7.8587555788921,1.07168458781362,6,19,"amine metabolic process"
"17","GO:0044106",0.000444494344753032,7.8587555788921,1.07168458781362,6,19,"cellular amine metabolic process"
"18","GO:0051186",0.000479683496027189,2.88928150765607,6.31729862290134,16,112,"cofactor metabolic process"
"19","GO:0006576",0.000724555725918295,9.43499622071051,0.789662327862667,5,14,"cellular biogenic amine metabolic process"
"20","GO:0009108",0.000729938058822856,3.89902485058194,3.04584040747029,10,54,"coenzyme biosynthetic process"
"21","GO:0051188",0.00130483268214205,3.31353557504873,3.83550273533296,11,68,"cofactor biosynthetic process"
"22","GO:0032787",0.00147609949647301,3.25574712643678,3.89190718732315,11,69,"monocarboxylic acid metabolic process"
"23","GO:0001523",0.0015885644292881,11.290395480226,0.564044519901905,4,10,"retinoid metabolic process"
"24","GO:0016101",0.0015885644292881,11.290395480226,0.564044519901905,4,10,"diterpenoid metabolic process"
"25","GO:0009072",0.0019465372107626,7.07199546485261,0.958875683833239,5,17,"aromatic amino acid family metabolic process"
"26","GO:0006732",0.00235534210370266,3.04323476702509,4.11752499528391,11,73,"coenzyme metabolic process"
"27","GO:0006721",0.0023863233764619,9.67554479418886,0.620448971892096,4,11,"terpenoid metabolic process"
"28","GO:0006631",0.00239208311469862,3.9014236622484,2.42539143557819,8,43,"fatty acid metabolic process"
"29","GO:0046395",0.00289888582761308,4.25856164383562,1.97415581965667,7,35,"carboxylic acid catabolic process"
"30","GO:0016054",0.00289888582761308,4.25856164383562,1.97415581965667,7,35,"organic acid catabolic process"
"31","GO:0009435",0.00312776051546582,16.8885135135135,0.338426711941143,3,6,"NAD biosynthetic process"
"32","GO:0097089",0.0031714201307692,Inf,0.112808903980381,2,2,"methyl-branched fatty acid metabolic process"
