"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0051127",2.03940097831953e-09,193.308823529412,0.066213921901528,5,9,"positive regulation of actin nucleation"
"2","GO:0051125",4.05697990283736e-09,154.617647058824,0.0735710243350311,5,10,"regulation of actin nucleation"
"3","GO:0006030",2.08315342420845e-08,30.8910472972973,0.323712507074137,7,44,"chitin metabolic process"
"4","GO:1901071",3.91829671259634e-08,27.8559451219512,0.353140916808149,7,48,"glucosamine-containing compound metabolic process"
"5","GO:0006040",4.54708758085276e-08,27.1875,0.360498019241653,7,49,"amino sugar metabolic process"
"6","GO:0006022",7.98759886830827e-08,24.804347826087,0.389926428975665,7,53,"aminoglycan metabolic process"
"7","GO:0042752",2.36563445837391e-07,51.4411764705882,0.147142048670062,5,20,"regulation of circadian rhythm"
"8","GO:0045010",3.97521730721131e-07,45.3719723183391,0.161856253537068,5,22,"actin nucleation"
"9","GO:0030838",7.8921264916581e-07,38.5441176470588,0.183927560837578,5,25,"positive regulation of actin filament polymerization"
"10","GO:0007623",2.88105866898379e-06,28.5130718954248,0.2354272778721,5,32,"circadian rhythm"
"11","GO:0030833",3.93848265351851e-06,26.5365111561866,0.250141482739106,5,34,"regulation of actin filament polymerization"
"12","GO:0030041",4.57031070912589e-06,25.6470588235294,0.257498585172609,5,35,"actin filament polymerization"
"13","GO:0008064",5.27905918408287e-06,24.814990512334,0.264855687606112,5,36,"regulation of actin polymerization or depolymerization"
"14","GO:0030832",5.27905918408287e-06,24.814990512334,0.264855687606112,5,36,"regulation of actin filament length"
"15","GO:0032273",7.93366049246187e-06,22.6124567474048,0.286926994906621,5,39,"positive regulation of protein polymerization"
"16","GO:0008154",9.01852586180691e-06,21.9621848739496,0.294284097340125,5,40,"actin polymerization or depolymerization"
"17","GO:0110053",1.15346514101509e-05,20.7670906200318,0.308998302207131,5,42,"regulation of actin filament organization"
"18","GO:0031334",1.45685862365246e-05,19.6945701357466,0.323712507074137,5,44,"positive regulation of protein complex assembly"
"19","GO:1902905",1.63019643776622e-05,19.1985294117647,0.33106960950764,5,45,"positive regulation of supramolecular fiber organization"
"20","GO:0051495",2.2482536995114e-05,17.8488372093023,0.353140916808149,5,48,"positive regulation of cytoskeleton organization"
"21","GO:0032271",2.2482536995114e-05,17.8488372093023,0.353140916808149,5,48,"regulation of protein polymerization"
"22","GO:0032956",2.49034060082209e-05,17.4398395721925,0.360498019241653,5,49,"regulation of actin cytoskeleton organization"
"23","GO:0048511",2.7522398269409e-05,17.0490196078431,0.367855121675156,5,50,"rhythmic process"
"24","GO:0032535",4.39925768519491e-05,15.3294117647059,0.404640633842671,5,55,"regulation of cellular component size"
"25","GO:0043254",5.23852417235583e-05,14.7341628959276,0.419354838709677,5,57,"regulation of protein complex assembly"
"26","GO:0051258",6.72385376497465e-05,13.9224598930481,0.441426146010187,5,60,"protein polymerization"
"27","GO:0032970",7.2850110904447e-05,13.671218487395,0.44878324844369,5,61,"regulation of actin filament-based process"
"28","GO:1902903",8.51529992948416e-05,13.1947261663286,0.463497453310696,5,63,"regulation of supramolecular fiber organization"
"29","GO:0007015",9.18751594567527e-05,12.968594217348,0.470854555744199,5,64,"actin filament organization"
"30","GO:0090066",0.000106540504616841,12.5385728061716,0.485568760611205,5,66,"regulation of anatomical structure size"
"31","GO:0051493",0.000141221595043852,11.7579185520362,0.514997170345218,5,70,"regulation of cytoskeleton organization"
"32","GO:0044089",0.000222044071338908,10.6004901960784,0.56649688737974,5,77,"positive regulation of cellular component biogenesis"
"33","GO:0017144",0.000246921775269946,6.59227071005917,1.29485002829655,7,176,"drug metabolic process"
"34","GO:0010638",0.000650596064425567,8.26406649616368,0.713638936049802,5,97,"positive regulation of organelle organization"
"35","GO:0008152",0.000987549295721017,4.3376918703809,26.1397849462366,35,3553,"metabolic process"
"36","GO:0006629",0.00101223795192515,4.557309540151,2.1335597057159,8,290,"lipid metabolic process"
"37","GO:0097435",0.0016386222878406,6.64086687306502,0.87549518958687,5,119,"supramolecular fiber organization"
"38","GO:0044087",0.00218523237962848,6.19575699132112,0.934352009054895,5,127,"regulation of cellular component biogenesis"
"39","GO:1901135",0.00223600043382354,3.98548387096774,2.41312959818902,8,328,"carbohydrate derivative metabolic process"
