,GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,GO:0055114,1.82E-11,3.874922461,14.14827391,43,300,oxidation-reduction process
2,GO:0006629,1.53E-08,3.294290115,13.67666478,37,290,lipid metabolic process
3,GO:0044255,2.61E-06,3.177618379,9.620826259,26,204,cellular lipid metabolic process
4,GO:0006720,4.37E-06,9.393983402,1.367666478,9,29,isoprenoid metabolic process
5,GO:0044281,4.57E-06,2.357653284,21.31673269,43,452,small molecule metabolic process
6,GO:0019752,7.03E-06,3.059635907,9.526504433,25,202,carboxylic acid metabolic process
7,GO:0043436,8.39E-06,3.024208566,9.620826259,25,204,oxoacid metabolic process
8,GO:0006082,8.39E-06,3.024208566,9.620826259,25,204,organic acid metabolic process
9,GO:0006066,1.08E-05,8.163810211,1.509149217,9,32,alcohol metabolic process
10,GO:0055085,1.22E-05,2.273595034,21.41105452,42,454,transmembrane transport
11,GO:0034754,4.65E-05,20.59591837,0.47160913,5,10,cellular hormone metabolic process
12,GO:0032787,7.42E-05,4.417514374,3.254102999,12,69,monocarboxylic acid metabolic process
13,GO:1901615,9.02E-05,4.698317821,2.829654782,11,60,organic hydroxy compound metabolic process
14,GO:0106120,0.000103696,Inf,0.141482739,3,3,positive regulation of sterol biosynthetic process
15,GO:0045940,0.000103696,Inf,0.141482739,3,3,positive regulation of steroid metabolic process
16,GO:0010893,0.000103696,Inf,0.141482739,3,3,positive regulation of steroid biosynthetic process
17,GO:1902932,0.000103696,Inf,0.141482739,3,3,positive regulation of alcohol biosynthetic process
18,GO:0090205,0.000103696,Inf,0.141482739,3,3,positive regulation of cholesterol metabolic process
19,GO:0045542,0.000103696,Inf,0.141482739,3,3,positive regulation of cholesterol biosynthetic process
20,GO:0006631,0.00013749,5.510495485,2.027919261,9,43,fatty acid metabolic process
21,GO:0008610,0.000139318,3.252465483,5.659309564,16,120,lipid biosynthetic process
22,GO:0016042,0.00033251,4.799233961,2.263723826,9,48,lipid catabolic process
23,GO:0090181,0.000400282,61.33603239,0.188643652,3,4,regulation of cholesterol metabolic process
24,GO:0045540,0.000400282,61.33603239,0.188643652,3,4,regulation of cholesterol biosynthetic process
25,GO:0042445,0.000408145,7.738217213,1.037540087,6,22,hormone metabolic process
26,GO:0006732,0.000543837,3.70353624,3.442746652,11,73,coenzyme metabolic process
27,GO:0001523,0.000809619,13.67208672,0.47160913,4,10,retinoid metabolic process
28,GO:0009074,0.000809619,13.67208672,0.47160913,4,10,aromatic amino acid family catabolic process
29,GO:0016126,0.000809619,13.67208672,0.47160913,4,10,sterol biosynthetic process
30,GO:0016101,0.000809619,13.67208672,0.47160913,4,10,diterpenoid metabolic process
31,GO:0045834,0.000809619,13.67208672,0.47160913,4,10,positive regulation of lipid metabolic process
32,GO:0009108,0.000823118,4.154356846,2.546689304,9,54,coenzyme biosynthetic process
33,GO:0008202,0.000858105,5.360158512,1.603471043,7,34,steroid metabolic process
34,GO:0006694,0.000859803,6.512510785,1.179022826,6,25,steroid biosynthetic process
35,GO:0106118,0.000965794,30.66194332,0.235804565,3,5,regulation of sterol biosynthetic process
36,GO:0050810,0.000965794,30.66194332,0.235804565,3,5,regulation of steroid biosynthetic process
37,GO:0046889,0.000965794,30.66194332,0.235804565,3,5,positive regulation of lipid biosynthetic process
38,GO:1902930,0.000965794,30.66194332,0.235804565,3,5,regulation of alcohol biosynthetic process
39,GO:0019218,0.000965794,30.66194332,0.235804565,3,5,regulation of steroid metabolic process
40,GO:0006695,0.000965794,30.66194332,0.235804565,3,5,cholesterol biosynthetic process
41,GO:0046395,0.001030215,5.167695473,1.650631956,7,35,carboxylic acid catabolic process
