"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0055114",5.01498842716738e-18,37.5041518386714,1.58460667798529,19,300,"oxidation-reduction process"
"2","GO:0006091",3.25055401914416e-16,66.2796610169491,0.375023580456518,12,71,"generation of precursor metabolites and energy"
"3","GO:0006099",2.53123832099145e-15,263.25,0.0845123561592152,8,16,"tricarboxylic acid cycle"
"4","GO:0006101",4.76515264185726e-15,233.955555555556,0.0897943784191662,8,17,"citrate metabolic process"
"5","GO:0072350",1.47158181688837e-14,191.345454545455,0.100358422939068,8,19,"tricarboxylic acid metabolic process"
"6","GO:0009060",3.93534246375727e-14,161.846153846154,0.11092246745897,8,21,"aerobic respiration"
"7","GO:0016999",1.40803597130902e-13,131.425,0.126768534238823,8,24,"antibiotic metabolic process"
"8","GO:0045333",3.85563117820956e-13,72.9891640866873,0.227126957177891,9,43,"cellular respiration"
"9","GO:0015980",2.44285478669803e-12,57.6132190942472,0.27466515751745,9,52,"energy derivation by oxidation of organic compounds"
"10","GO:0017144",5.20623947179434e-10,20.0313725490196,0.929635917751368,11,176,"drug metabolic process"
"11","GO:0019752",3.7273139772698e-08,14.7019675925926,1.06696849651009,10,202,"carboxylic acid metabolic process"
"12","GO:0043436",4.09633125110657e-08,14.5446735395189,1.07753254102999,10,204,"oxoacid metabolic process"
"13","GO:0006082",4.09633125110657e-08,14.5446735395189,1.07753254102999,10,204,"organic acid metabolic process"
"14","GO:0044281",1.20976747502516e-07,9.54320425208808,2.38747406149783,13,452,"small molecule metabolic process"
"15","GO:0032981",3.64453690901414e-05,63.156,0.0686662893793624,3,13,"mitochondrial respiratory chain complex I assembly"
"16","GO:0010257",3.64453690901414e-05,63.156,0.0686662893793624,3,13,"NADH dehydrogenase complex assembly"
"17","GO:0033108",8.54343555478996e-05,45.0771428571429,0.0897943784191662,3,17,"mitochondrial respiratory chain complex assembly"
"18","GO:0022900",0.000354713396798941,26.245,0.142614601018676,3,27,"electron transport chain"
"19","GO:0065002",0.00348436495714283,26.9641025641026,0.0897943784191662,2,17,"intracellular protein transmembrane transport"
"20","GO:0006090",0.00348436495714283,26.9641025641026,0.0897943784191662,2,17,"pyruvate metabolic process"
"21","GO:0016052",0.00390714072131738,25.2740384615385,0.0950764006791171,2,18,"carbohydrate catabolic process"
"22","GO:0046034",0.00443369439644734,10.2531147540984,0.338049424636861,3,64,"ATP metabolic process"
"23","GO:0009205",0.00504421929244135,9.766875,0.353895491416714,3,67,"purine ribonucleoside triphosphate metabolic process"
"24","GO:0009199",0.00525846858667035,9.61476923076923,0.359177513676665,3,68,"ribonucleoside triphosphate metabolic process"
"25","GO:0060317",0.00528202225995067,Inf,0.00528202225995095,1,1,"cardiac epithelial to mesenchymal transition"
"26","GO:0051930",0.00528202225995067,Inf,0.00528202225995095,1,1,"regulation of sensory perception of pain"
"27","GO:0071787",0.00528202225995067,Inf,0.00528202225995095,1,1,"endoplasmic reticulum tubular network formation"
"28","GO:0048755",0.00528202225995067,Inf,0.00528202225995095,1,1,"branching morphogenesis of a nerve"
"29","GO:0070571",0.00528202225995067,Inf,0.00528202225995095,1,1,"negative regulation of neuron projection regeneration"
"30","GO:0021801",0.00528202225995067,Inf,0.00528202225995095,1,1,"cerebral cortex radial glia guided migration"
"31","GO:0021553",0.00528202225995067,Inf,0.00528202225995095,1,1,"olfactory nerve development"
"32","GO:2000172",0.00528202225995067,Inf,0.00528202225995095,1,1,"regulation of branching morphogenesis of a nerve"
"33","GO:0033598",0.00528202225995067,Inf,0.00528202225995095,1,1,"mammary gland epithelial cell proliferation"
"34","GO:0033599",0.00528202225995067,Inf,0.00528202225995095,1,1,"regulation of mammary gland epithelial cell proliferation"
"35","GO:0033601",0.00528202225995067,Inf,0.00528202225995095,1,1,"positive regulation of mammary gland epithelial cell proliferation"
"36","GO:0033603",0.00528202225995067,Inf,0.00528202225995095,1,1,"positive regulation of dopamine secretion"
"37","GO:0033605",0.00528202225995067,Inf,0.00528202225995095,1,1,"positive regulation of catecholamine secretion"
"38","GO:0022030",0.00528202225995067,Inf,0.00528202225995095,1,1,"telencephalon glial cell migration"
"39","GO:0008347",0.00528202225995067,Inf,0.00528202225995095,1,1,"glial cell migration"
"40","GO:0006007",0.00528202225995067,Inf,0.00528202225995095,1,1,"glucose catabolic process"
"41","GO:1901475",0.00528202225995067,Inf,0.00528202225995095,1,1,"pyruvate transmembrane transport"
"42","GO:0006850",0.00528202225995067,Inf,0.00528202225995095,1,1,"mitochondrial pyruvate transmembrane transport"
"43","GO:0006848",0.00528202225995067,Inf,0.00528202225995095,1,1,"pyruvate transport"
"44","GO:0045687",0.00528202225995067,Inf,0.00528202225995095,1,1,"positive regulation of glial cell differentiation"
"45","GO:1990542",0.00531053120027536,21.2712550607287,0.11092246745897,2,21,"mitochondrial transmembrane transport"
"46","GO:0009144",0.00547815571803204,9.46727272727273,0.364459535936616,3,69,"purine nucleoside triphosphate metabolic process"
"47","GO:0009167",0.00617022852871597,9.0504347826087,0.380305602716469,3,72,"purine ribonucleoside monophosphate metabolic process"
"48","GO:0009126",0.00617022852871597,9.0504347826087,0.380305602716469,3,72,"purine nucleoside monophosphate metabolic process"
"49","GO:0009141",0.00641204658434098,8.91942857142857,0.38558762497642,3,73,"nucleoside triphosphate metabolic process"
"50","GO:0008152",0.00665787307748927,4.12178760393046,18.7670250896057,25,3553,"metabolic process"
"51","GO:0030308",0.00691165998963923,18.3601398601399,0.126768534238823,2,24,"negative regulation of cell growth"
"52","GO:0009161",0.00691258538970679,8.66833333333333,0.396151669496321,3,75,"ribonucleoside monophosphate metabolic process"
"53","GO:0009123",0.00717137355161578,8.54794520547945,0.401433691756272,3,76,"nucleoside monophosphate metabolic process"
"54","GO:0071806",0.0100030317979018,14.9458689458689,0.153178645538578,2,29,"protein transmembrane transport"
"55","GO:0051954",0.0105371361046154,195.259259259259,0.0105640445199019,1,2,"positive regulation of amine transport"
"56","GO:0051931",0.0105371361046154,195.259259259259,0.0105640445199019,1,2,"regulation of sensory perception"
"57","GO:0046365",0.0105371361046154,195.259259259259,0.0105640445199019,1,2,"monosaccharide catabolic process"
"58","GO:0021795",0.0105371361046154,195.259259259259,0.0105640445199019,1,2,"cerebral cortex cell migration"
"59","GO:0021799",0.0105371361046154,195.259259259259,0.0105640445199019,1,2,"cerebral cortex radially oriented cell migration"
