"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0043043",1.28056331430978e-30,5.00762768462863,97.9686851537446,184,242,"peptide biosynthetic process"
"2","GO:0006412",1.93640057249455e-30,5.03658841605031,96.7541973212601,182,239,"translation"
"3","GO:0043604",1.32983148249433e-29,4.61774421897121,103.231465761177,190,255,"amide biosynthetic process"
"4","GO:0006518",1.5326881460472e-29,4.37651229812247,109.708734201094,199,271,"peptide metabolic process"
"5","GO:0043603",8.45978318549121e-26,3.59024200494568,123.068100358423,211,304,"cellular amide metabolic process"
"6","GO:0034641",1.80520268529598e-25,1.85993303571429,684.161478966233,858,1690,"cellular nitrogen compound metabolic process"
"7","GO:1901566",1.8261638560608e-21,2.42972527764493,208.487077909828,310,515,"organonitrogen compound biosynthetic process"
"8","GO:0034660",4.53195649135552e-19,4.25138359497814,70.0354650066025,127,173,"ncRNA metabolic process"
"9","GO:0006396",6.99638923312468e-18,2.87390093933385,117.400490473496,188,290,"RNA processing"
"10","GO:0022613",1.52493342897009e-16,5.41701507049101,46.1505376344086,89,114,"ribonucleoprotein complex biogenesis"
"11","GO:0042254",2.88729192005176e-16,8.02925817562313,33.1960007545746,69,82,"ribosome biogenesis"
"12","GO:0044237",4.46308753001146e-16,1.57813558676868,1168.74212412752,1312,2887,"cellular metabolic process"
"13","GO:0006807",7.70953940353941e-16,1.56964129483815,1133.52197698547,1276,2800,"nitrogen compound metabolic process"
"14","GO:0034470",3.02993888076268e-15,4.56502679006332,50.1988304093567,93,124,"ncRNA processing"
"15","GO:0010467",7.93859160728528e-14,1.61267796090209,525.468402188266,640,1298,"gene expression"
"16","GO:0008152",8.25931421922632e-14,1.56368727768107,1438.35842293907,1562,3553,"metabolic process"
"17","GO:0071704",2.20064153676761e-13,1.51834247485058,1272.78324844369,1400,3144,"organic substance metabolic process"
"18","GO:0044238",4.58034010691607e-13,1.50252671407527,1209.225051877,1336,2987,"primary metabolic process"
"19","GO:0043170",8.47580098017217e-13,1.48824734487034,1020.57460856442,1147,2521,"macromolecule metabolic process"
"20","GO:0006399",1.99262468338552e-12,4.41850613154961,41.2925863044709,76,102,"tRNA metabolic process"
"21","GO:0006725",1.7350237928704e-10,1.47912031047865,594.694208639879,696,1469,"cellular aromatic compound metabolic process"
"22","GO:0046483",4.78740078071281e-10,1.46468041649091,594.289379362384,693,1468,"heterocycle metabolic process"
"23","GO:1901360",1.49180103270287e-09,1.44388485900616,610.482550462177,707,1508,"organic cyclic compound metabolic process"
"24","GO:0006139",2.11440555283392e-09,1.44799303238716,576.072061875118,670,1423,"nucleobase-containing compound metabolic process"
"25","GO:0008033",2.88724634292146e-09,5.13305188615008,25.0994152046784,48,62,"tRNA processing"
"26","GO:0006259",2.10293432949299e-08,2.12816691505216,92.3010752688172,133,228,"DNA metabolic process"
"27","GO:0044267",3.9277241389029e-08,1.43276214511041,480.127523108847,561,1186,"cellular protein metabolic process"
"28","GO:0006974",4.01674190876361e-08,2.28099685119897,74.0837577815506,110,183,"cellular response to DNA damage stimulus"
"29","GO:0009451",5.11505895030302e-08,4.07229905155513,27.1235615921524,49,67,"RNA modification"
"30","GO:0016072",5.87583588594009e-08,4.8246563322609,22.2656102622147,42,55,"rRNA metabolic process"
"31","GO:0006364",6.38721881932882e-08,5.29041722397204,20.2414638747406,39,50,"rRNA processing"
"32","GO:0033554",6.87773477377975e-08,1.86050056038206,127.521222410866,173,315,"cellular response to stress"
"33","GO:0008380",7.79177920907434e-08,3.1505040806529,37.6491228070175,63,93,"RNA splicing"
"34","GO:0090304",1.18599718264369e-07,1.4052912014801,504.822109036031,584,1247,"nucleic acid metabolic process"
"35","GO:0044249",4.0783391804117e-07,1.3657877583633,573.238256932654,652,1416,"cellular biosynthetic process"
"36","GO:0009057",5.49435589395944e-07,1.9538671294001,92.705904546312,129,229,"macromolecule catabolic process"
"37","GO:0044265",9.24884336779466e-07,2.06337809468205,75.7030748915299,108,187,"cellular macromolecule catabolic process"
"38","GO:0009058",1.23226128914479e-06,1.34179966922694,598.742501414827,675,1479,"biosynthetic process"
"39","GO:0006400",1.33011536163749e-06,6.68735252477584,13.3593661573288,27,33,"tRNA modification"
"40","GO:1901576",1.40916282165563e-06,1.34254041625978,583.763818147519,659,1442,"organic substance biosynthetic process"
"41","GO:0006260",1.56504111543602e-06,2.93750427000068,33.6008300320694,55,83,"DNA replication"
"42","GO:0030163",2.23303543123478e-06,2.06349843998982,70.0354650066025,100,173,"protein catabolic process"
