genes,module,IntraModCon,MMpurple,padj.MMpurple,GS.DWVa,pdj.GS.DWVa,GS.VDV2,pdj.GS.VDV2,GS.ARV_2,pdj.GS.ARV_2,
111244705,purple,16.47463122,0.937039929,8.04E-29,-0.389656586,0.018532843,-0.136144686,0.601292224,-0.15079827,0.549215587,
111251889,purple,16.31836053,0.935676305,1.51E-28,-0.420082511,0.00834416,-0.115450715,0.675815738,-0.076315266,0.807197746,
111243470,purple,15.73250577,0.930152863,1.67E-27,-0.322888791,0.075094758,-0.221613136,0.301533517,-0.231161319,0.27223292,
111247309,purple,16.26002376,0.929677746,2.03E-27,-0.512570744,3.96E-04,-0.231705331,0.270559282,0.049494603,0.870512293,
111252647,purple,15.81354443,0.92549206,1.10E-26,-0.415966509,0.009352255,-0.184330901,0.427333121,-0.09030227,0.76282285,
111249385,purple,15.16832212,0.924516545,1.61E-26,-0.470780393,0.001779418,-0.035705857,0.903526306,-0.018515349,0.949586982,
111253332,purple,15.55934429,0.922766753,3.15E-26,-0.442919677,0.004295444,-0.075649527,0.808937924,-0.170723618,0.476430623,
111248674,purple,14.1937259,0.908624302,4.27E-24,-0.347088424,0.047716266,-0.141394704,0.582307392,-0.04512177,0.883228489,glut
111251224,purple,14.93903687,0.908468389,4.48E-24,-0.482428491,0.001200372,-0.023569909,0.935686647,-0.259077839,0.195699343,
111245132,purple,14.38401008,0.903114369,2.32E-23,-0.274608615,0.159626738,-0.062441708,0.838548704,-0.051041788,0.865946321,
111252049,purple,13.92144034,0.894219648,2.90E-22,-0.454152245,0.003034161,-0.182814842,0.4328486,-0.112780754,0.684454657,
111246254,purple,13.29359974,0.893834067,3.22E-22,-0.376223892,0.025534131,-0.016297705,0.955679884,-0.020117869,0.945390847,
111246781,purple,13.54708521,0.892778049,4.29E-22,-0.418644006,0.008691938,-0.270942689,0.167586075,-0.125570966,0.640169365,
111247579,purple,13.97830804,0.891050728,6.80E-22,-0.44004087,0.00468436,-0.312496623,0.089814469,-0.108118211,0.699642941,
111246603,purple,11.41110461,0.87762247,1.92E-20,-0.36878747,0.030161744,-0.040692607,0.894239549,0.042338504,0.890433683,
111253165,purple,13.1860747,0.876239095,2.65E-20,-0.262958543,0.186290344,-0.064937277,0.831692519,-0.314400563,0.086992546,
111253306,purple,11.09491764,0.869192131,1.29E-19,-0.346787033,0.048028432,-0.007895636,0.978950558,-0.328738175,0.067745972,
111252465,purple,14.16650544,0.867638629,1.80E-19,-0.332199118,0.063618315,0.163614272,0.501845469,-0.273884006,0.161243964,
111244103,purple,10.77944546,0.864662541,3.41E-19,-0.438155797,0.004955743,-0.39104973,0.017953397,-0.099708762,0.729870511,gly
111246368,purple,11.65165421,0.85499281,2.41E-18,-0.426466627,0.006976529,0.067888532,0.823837533,-0.081290659,0.792216369,
111244379,purple,11.8267637,0.852042469,4.26E-18,-0.303237412,0.104519494,-0.217300629,0.315398924,-0.190101776,0.407437105,
111251756,purple,12.79808111,0.851395631,4.82E-18,-0.411229599,0.010610098,-0.19537057,0.38868657,-0.178990608,0.446459729,
111249167,purple,10.03136094,0.848810323,7.81E-18,-0.317314912,0.082662459,-0.058946247,0.84748817,0.293691324,0.121591555,
111244832,purple,10.62761008,0.845706437,1.38E-17,-0.346987363,0.047821075,-0.285844936,0.136028272,0.235143544,0.260215832,clmd
111249563,purple,11.09054173,0.839373139,4.24E-17,-0.403290766,0.013124011,-0.191195799,0.403544217,-0.118592889,0.66524685,
111251557,purple,12.1703042,0.835723242,7.91E-17,-0.367056853,0.031353386,0.233283764,0.265698341,-0.292086406,0.124388624,
111244227,purple,12.43647694,0.828954693,2.45E-16,-0.242563485,0.239661937,0.13488287,0.605868241,-0.075214308,0.809972839,
111247324,purple,9.434862521,0.82883099,2.50E-16,-0.327031496,0.069907259,-0.173705641,0.465735776,0.289552927,0.128949214,
111247563,purple,10.94718031,0.828556923,2.61E-16,-0.393290225,0.016962872,0.074524717,0.811771649,-0.391902624,0.017580844,
