Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672900.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672902.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672903.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672904.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672905.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33803493,33851312,-,111255315,LOC111255315,-,XP_022672908.1,1430,uncharacterized protein LOC111255315 isoform X5
Un,NW_019211454.1,33971994,34018606,+,111248554,LOC111248554,-,XP_022656777.1,602,probable serine/threonine-protein kinase clkA isoform X1
Un,NW_019211454.1,34008593,34018606,+,111248554,LOC111248554,-,XP_022656787.1,542,homeobox protein 2-like isoform X2
Un,NW_019211454.1,34033195,34040117,-,111255391,LOC111255391,-,XP_022673056.1,342,uncharacterized protein LOC111255391
Un,NW_019211454.1,34090539,34123052,-,111255424,LOC111255424,-,XP_022673123.1,922,uncharacterized protein LOC111255424
Un,NW_019211454.1,34127014,34130672,-,111243481,LOC111243481,-,XP_022644856.1,200,COP9 signalosome complex subunit 8-like
Un,NW_019211454.1,34131094,34133878,+,111243479,LOC111243479,-,XP_022644854.1,349,mortality factor 4-like protein 1 isoform X1
Un,NW_019211454.1,34132297,34133878,+,111243479,LOC111243479,-,XP_022644855.1,290,mortality factor 4-like protein 1 isoform X2
Un,NW_019211454.1,34136331,34146510,+,111243477,LOC111243477,-,XP_022644849.1,1091,formin-2-like isoform X3
Un,NW_019211454.1,34136680,34146510,+,111243477,LOC111243477,-,XP_022644847.1,1241,formin-2-like isoform X1
Un,NW_019211454.1,34137734,34146510,+,111243477,LOC111243477,-,XP_022644850.1,1079,formin-2-like isoform X4
Un,NW_019211454.1,34140037,34146510,+,111243477,LOC111243477,-,XP_022644848.1,1104,formin-2-like isoform X2
Un,NW_019211454.1,34142226,34146510,+,111243477,LOC111243477,-,XP_022644852.1,1019,formin-2-like isoform X5
Un,NW_019211454.1,34158127,34166734,-,111243478,LOC111243478,-,XP_022644853.1,557,4-coumarate--CoA ligase 1-like
Un,NW_019211454.1,34171810,34180592,-,111250964,LOC111250964,-,XP_022662758.1,768,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X2
Un,NW_019211454.1,34171810,34178984,-,111250964,LOC111250964,-,XP_022662747.1,770,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X1
Un,NW_019211454.1,34171810,34175333,-,111250964,LOC111250964,-,XP_022662767.1,691,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X3
Un,NW_019211454.1,34171810,34175333,-,111250964,LOC111250964,-,XP_022662774.1,691,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X3
Un,NW_019211454.1,34171810,34175333,-,111250964,LOC111250964,-,XP_022662792.1,691,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X3
Un,NW_019211454.1,34173028,34178984,-,111250964,LOC111250964,-,XP_022662782.1,648,cap-specific mRNA (nucleoside-2\\'-O-)-methyltransferase 2-like isoform X4
Un,NW_019211454.1,34179660,34180487,-,111250984,LOC111250984,-,XP_022662806.1,275,GPN-loop GTPase 2-like
Un,NW_019211454.1,34183532,34185577,-,111250989,LOC111250989,-,XP_022662821.1,123,signal recognition particle 14 kDa protein-like
Un,NW_019211454.1,34192100,34199057,+,111247461,LOC111247461,-,XP_022654123.1,818,poly
Un,NW_019211454.1,34192100,34199057,+,111247461,LOC111247461,-,XP_022654131.1,818,poly
Un,NW_019211454.1,34201393,34209549,+,111247469,LOC111247469,-,XP_022654157.1,439,MFS-type transporter SLC18B1-like isoform X2
Un,NW_019211454.1,34204019,34209549,+,111247469,LOC111247469,-,XP_022654144.1,462,MFS-type transporter SLC18B1-like isoform X1
Un,NW_019211454.1,34204019,34209549,+,111247469,LOC111247469,-,XP_022654150.1,462,MFS-type transporter SLC18B1-like isoform X1
Un,NW_019211454.1,34204019,34209549,+,111247469,LOC111247469,-,XP_022654167.1,414,MFS-type transporter SLC18B1-like isoform X3
Un,NW_019211454.1,34205730,34209549,+,111247469,LOC111247469,-,XP_022654177.1,333,MFS-type transporter SLC18B1-like isoform X4
Un,NW_019211454.1,34212315,34213532,-,111255456,LOC111255456,-,XP_022673162.1,405,protein ABHD4-like
Un,NW_019211454.1,34233242,34268526,+,111255606,LOC111255606,-,XP_022673468.1,336,protein Wnt-8b-like isoform X2
Un,NW_019211454.1,71568083,71574220,+,111255330,LOC111255330,-,XP_022672930.1,436,probable glutamate receptor
Un,NW_019211454.1,71574745,71576986,-,111254742,LOC111254742,-,XP_022671641.1,263,uncharacterized protein LOC111254742
Un,NW_019211454.1,71574745,71576986,-,111254742,LOC111254742,-,XP_022671649.1,263,uncharacterized protein LOC111254742
Un,NW_019211454.1,71586007,71588793,+,111254750,LOC111254750,-,XP_022671661.1,187,probable low affinity copper uptake protein 2
Un,NW_019211454.1,71586007,71588793,+,111254750,LOC111254750,-,XP_022671669.1,187,probable low affinity copper uptake protein 2
Un,NW_019211454.1,71586007,71588793,+,111254750,LOC111254750,-,XP_022671678.1,187,probable low affinity copper uptake protein 2
Un,NW_019211454.1,71586007,71588793,+,111254750,LOC111254750,-,XP_022671687.1,187,probable low affinity copper uptake protein 2
Un,NW_019211454.1,71590332,71590946,-,111254770,LOC111254770,-,XP_022671696.1,100,uncharacterized protein LOC111254770
Un,NW_019211454.1,71615519,71627504,-,111255403,LOC111255403,-,XP_022673079.1,973,uncharacterized protein LOC111255403 isoform X2
Un,NW_019211454.1,71615519,71627504,-,111255403,LOC111255403,-,XP_022673078.1,1155,netrin receptor UNC5C-like isoform X1
Un,NW_019211454.1,71642457,71660617,+,111246687,LOC111246687,-,XP_022652431.1,643,calponin homology domain-containing protein DDB_G0272472-like
Un,NW_019211454.1,71667070,71678667,+,111245743,LOC111245743,-,XP_022650231.1,658,myb-like protein K
Un,NW_019211454.1,71839164,71878420,+,111249174,LOC111249174,-,XP_022658440.1,509,chondroadherin-like protein isoform X1
Un,NW_019211454.1,71866293,71878420,+,111249174,LOC111249174,-,XP_022658449.1,479,chondroadherin-like protein isoform X2
Un,NW_019211454.1,72059550,72060782,-,111245793,LOC111245793,-,XP_022650355.1,303,spectrin alpha chain-like
Un,NW_019211454.1,72095243,72096742,-,111251548,LOC111251548,-,XP_022663955.1,499,uncharacterized protein LOC111251548
Un,NW_019211454.1,72112361,72116386,-,111243103,LOC111243103,-,XP_022643922.1,418,histone PARylation factor 1-like isoform X1
Un,NW_019211454.1,72112361,72114967,-,111243103,LOC111243103,-,XP_022643923.1,413,histone PARylation factor 1-like isoform X2
Un,NW_019211454.1,72120099,72126131,+,111255549,LOC111255549,-,XP_022673359.1,892,heat shock protein DDB_G0288861-like
Un,NW_019211454.1,72135460,72136969,-,111255494,LOC111255494,-,XP_022673261.1,367,spectrin alpha chain-like
Un,NW_019211454.1,72140060,72141704,-,111255495,LOC111255495,-,XP_022673262.1,224,U1 small nuclear ribonucleoprotein A-like
Un,NW_019211454.1,72150300,72160749,+,111243447,LOC111243447,-,XP_022644755.1,2422,spectrin alpha chain-like
Un,NW_019211454.1,72150300,72160749,+,111243447,LOC111243447,-,XP_022644756.1,2422,spectrin alpha chain-like
Un,NW_019211454.1,72162533,72163557,+,111243448,LOC111243448,-,XP_022644757.1,229,uncharacterized protein LOC111243448
Un,NW_019211454.1,72205110,72206768,+,111255359,LOC111255359,-,XP_022672995.1,552,vesicular acetylcholine transporter-like
Un,NW_019211454.1,72223540,72257046,+,111245845,LOC111245845,-,XP_022650492.1,602,choline O-acetyltransferase-like
Un,NW_019211454.1,72272892,72277458,+,111250336,LOC111250336,-,XP_022661156.1,400,leucine carboxyl methyltransferase 1-like isoform X1
Un,NW_019211454.1,72275487,72277458,+,111250336,LOC111250336,-,XP_022661165.1,352,leucine carboxyl methyltransferase 1-like isoform X2
Un,NW_019211454.1,72275487,72277458,+,111250336,LOC111250336,-,XP_022661174.1,352,leucine carboxyl methyltransferase 1-like isoform X2
Un,NW_019211454.1,72275487,72277458,+,111250336,LOC111250336,-,XP_022661185.1,352,leucine carboxyl methyltransferase 1-like isoform X2
Un,NW_019211454.1,72280648,72283551,-,111250311,LOC111250311,-,XP_022661094.1,411,paramyosin-like isoform X2
Un,NW_019211454.1,72280648,72283551,-,111250311,LOC111250311,-,XP_022661086.1,467,daple-like protein isoform X1
Un,NW_019211454.1,72285358,72288694,-,111250319,LOC111250319,-,XP_022661142.1,377,mannose-1-phosphate guanyltransferase alpha-A-like isoform X2
Un,NW_019211454.1,72285358,72288694,-,111250319,LOC111250319,-,XP_022661108.1,421,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
Un,NW_019211454.1,72285358,72288694,-,111250319,LOC111250319,-,XP_022661116.1,421,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
Un,NW_019211454.1,72285358,72288694,-,111250319,LOC111250319,-,XP_022661123.1,421,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
Un,NW_019211454.1,52884,67828,+,111248800,LOC111248800,-,XP_022657489.1,433,dual specificity mitogen-activated protein kinase kinase 7-like
Un,NW_019211454.1,52884,67828,+,111248800,LOC111248800,-,XP_022657498.1,433,dual specificity mitogen-activated protein kinase kinase 7-like
Un,NW_019211454.1,52884,67828,+,111248800,LOC111248800,-,XP_022657509.1,433,dual specificity mitogen-activated protein kinase kinase 7-like
Un,NW_019211454.1,52884,67828,+,111248800,LOC111248800,-,XP_022657517.1,433,dual specificity mitogen-activated protein kinase kinase 7-like
Un,NW_019211454.1,75865,89990,-,111255390,LOC111255390,-,XP_022673053.1,408,uncharacterized protein LOC111255390
