genes,moduleNum,MM,MMpadj,Accession,Protein Name
111249174,Module.3,0.9687454366564437,6.977367828625959e-38,NW_019211454.1,chondroadherin-like protein isoform X1
111249174,Module.3,0.9687454366564437,6.977367828625959e-38,NW_019211454.1,chondroadherin-like protein isoform X2
111245793,Module.3,0.5519127060224263,1.146486976780233e-5,NW_019211454.1,spectrin alpha chain-like
111251548,Module.3,0.9830307455028999,9.151403530374496e-46,NW_019211454.1,uncharacterized protein LOC111251548
111250311,Module.3,0.9535266800115374,1.0163497875554373e-32,NW_019211454.1,paramyosin-like isoform X2
111250311,Module.3,0.9535266800115374,1.0163497875554373e-32,NW_019211454.1,daple-like protein isoform X1
111250319,Module.3,0.9386207094508388,3.828757084249761e-29,NW_019211454.1,mannose-1-phosphate guanyltransferase alpha-A-like isoform X2
111250319,Module.3,0.9386207094508388,3.828757084249761e-29,NW_019211454.1,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
111250319,Module.3,0.9386207094508388,3.828757084249761e-29,NW_019211454.1,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
111250319,Module.3,0.9386207094508388,3.828757084249761e-29,NW_019211454.1,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
111255384,Module.3,0.8756303098613957,3.045453112132624e-20,NW_019211454.1,protein LCHN-like
111255386,Module.3,0.9853221037965195,1.4701131344050427e-47,NW_019211454.1,uncharacterized protein LOC111255386 isoform X2
111255386,Module.3,0.9853221037965195,1.4701131344050427e-47,NW_019211454.1,uncharacterized protein LOC111255386 isoform X1
111255386,Module.3,0.9853221037965195,1.4701131344050427e-47,NW_019211454.1,uncharacterized protein LOC111255386 isoform X3
111251517,Module.3,0.9871464321849273,3.693395173781658e-49,NW_019211454.1,neurogenic differentiation factor 1-like
111254900,Module.3,0.758950539069556,2.8707458702074182e-12,NW_019211454.1,retinol dehydrogenase 14-like
111242987,Module.3,0.7396152582168084,2.2039799054088974e-11,NW_019211454.1,uncharacterized protein LOC111242987
111242977,Module.3,0.8566556164799553,1.7403708442953243e-18,NW_019211454.1,RYamide receptor-like
111250319,Module.3,0.9386207094508388,3.828757084249761e-29,NW_019211454.1,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
111250292,Module.3,0.9135603085493271,8.53281898497781e-25,NW_019211454.1,uncharacterized protein LOC111250292
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,neurofilament heavy polypeptide-like isoform X1
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,serine/threonine-protein kinase MARK1-like isoform X4
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,neurofilament heavy polypeptide-like isoform X2
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,neurofilament heavy polypeptide-like isoform X3
111244751,Module.3,0.8192414520236762,1.141005016806537e-15,NW_019211455.1,kinesin-like protein KIF12 isoform X1
111244751,Module.3,0.8192414520236762,1.141005016806537e-15,NW_019211455.1,kinesin-like protein KIF12 isoform X2
111244751,Module.3,0.8192414520236762,1.141005016806537e-15,NW_019211455.1,kinesin-like protein KIF12 isoform X2
111244751,Module.3,0.8192414520236762,1.141005016806537e-15,NW_019211455.1,kinesin-like protein KIF12 isoform X3
111244752,Module.3,0.516629934769831,5.7773012065895115e-5,NW_019211455.1,multiple coagulation factor deficiency protein 2 homolog
111245673,Module.3,0.9715810990763947,4.066853576257654e-39,NW_019211455.1,ETS domain-containing transcription factor ets-5-like
111244609,Module.3,0.9648014636334595,2.470275068851792e-36,NW_019211455.1,uncharacterized protein LOC111244609 isoform X1
111244609,Module.3,0.9648014636334595,2.470275068851792e-36,NW_019211455.1,uncharacterized protein LOC111244609 isoform X2
111244609,Module.3,0.9648014636334595,2.470275068851792e-36,NW_019211455.1,uncharacterized protein LOC111244609 isoform X3
111244609,Module.3,0.9648014636334595,2.470275068851792e-36,NW_019211455.1,uncharacterized protein LOC111244609 isoform X3
111244609,Module.3,0.9648014636334595,2.470275068851792e-36,NW_019211455.1,uncharacterized protein LOC111244609 isoform X4
111252260,Module.3,0.8943389704333616,2.801262731471189e-22,NW_019211454.1,protein cab-1-like isoform X2
111252260,Module.3,0.8943389704333616,2.801262731471189e-22,NW_019211454.1,protein cab-1-like isoform X1
111250515,Module.3,0.9593606543710304,1.812895843645476e-34,NW_019211454.1,microtubule-associated serine/threonine-protein kinase 2-like isoform X1
111250515,Module.3,0.9593606543710304,1.812895843645476e-34,NW_019211454.1,microtubule-associated serine/threonine-protein kinase 2-like isoform X2
111243949,Module.3,0.9742039498614352,2.1634624244284996e-40,NW_019211454.1,uncharacterized protein LOC111243949
111243119,Module.3,0.7241865468741587,9.878177297177296e-11,NW_019211454.1,uncharacterized protein LOC111243119
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,neurofilament heavy polypeptide-like isoform X3
111243145,Module.3,0.9610129769441835,5.336721393238263e-35,NW_019211454.1,neurofilament heavy polypeptide-like isoform X3
111249860,Module.3,0.973318030628357,5.991923937772785e-40,NW_019211454.1,V-type proton ATPase subunit D-like isoform X2
111249860,Module.3,0.973318030628357,5.991923937772785e-40,NW_019211454.1,V-type proton ATPase subunit D-like isoform X1
111249860,Module.3,0.973318030628357,5.991923937772785e-40,NW_019211454.1,V-type proton ATPase subunit D-like isoform X1
111249860,Module.3,0.973318030628357,5.991923937772785e-40,NW_019211454.1,V-type proton ATPase subunit D-like isoform X1
111252189,Module.3,0.9886915780628687,1.5854888528692502e-50,NW_019211454.1,serine/threonine-protein phosphatase PP1-gamma catalytic subunit B-like isoform X2
111252189,Module.3,0.9886915780628687,1.5854888528692502e-50,NW_019211454.1,serine/threonine-protein phosphatase alpha-3 isoform-like isoform X1
111255289,Module.3,0.7203173298138027,1.4145469632105838e-10,NW_019211454.1,neuropeptide-like protein 31
111245576,Module.3,0.9787102943311471,6.983864113667755e-43,NW_019211455.1,uncharacterized protein LOC111245576
111244358,Module.3,0.9896083743388275,1.7012119587303307e-51,NW_019211455.1,uncharacterized protein LOC111244358
111253892,Module.3,0.8621933361914397,5.694883557495785e-19,NW_019211454.1,poly(ADP-ribose) glycohydrolase-like isoform X2
111253892,Module.3,0.8621933361914397,5.694883557495785e-19,NW_019211454.1,poly(ADP-ribose) glycohydrolase-like isoform X6
111253892,Module.3,0.8621933361914397,5.694883557495785e-19,NW_019211454.1,poly(ADP-ribose) glycohydrolase-like isoform X8
111253892,Module.3,0.8621933361914397,5.694883557495785e-19,NW_019211454.1,poly(ADP-ribose) glycohydrolase-like isoform X1
111253892,Module.3,0.8621933361914397,5.694883557495785e-19,NW_019211454.1,poly(ADP-ribose) glycohydrolase-like isoform X5
